	Cancer_cells	Stromal_cells	Macro/mono_Lineage	Bcells	Regulatory_CD4_Tcells	CD4_Tcells	Proliferative_Tcells	NK_cells	CD8_Tcells
TFF3	1149621.08682505	11777.0435904647	4668.43781218347	2429.66229361754	937.998275359755	1378.04307213819	3682.15747545201	1229.75036669358	986.473168720897
KRT18	779055.858030008	11847.756627515	3153.04094002522	876.529153737949	624.307447728563	678.107041100632	1643.95859970118	589.842388835052	578.328223196495
KRT8	690821.626467202	12763.5285585384	4197.75592306196	743.369496247307	814.466957904006	769.52519267919	1745.22854002941	807.531907771063	733.793907493641
KRT19	405059.239156192	7613.57983117014	1972.64977035667	430.877755529083	417.345150969599	369.74473373787	1104.24933154147	381.345026967851	348.625911652922
AGR2	426903.580890273	5107.80301349984	2376.33943551627	676.901490971405	523.870125956573	407.265883876359	1066.10498279529	346.520685370097	446.23639222466
PHGR1	405502.106460349	4591.0294770894	2034.52129775201	414.578920054404	563.139481860863	531.771024320459	1586.65860153059	514.912023619082	488.139200033255
CLDN4	313233.106998574	4622.27051109518	2290.5768569857	668.679717806766	418.693623370328	544.5190589392	1314.50510668858	394.268590338912	409.708687118672
EPCAM	339495.988618384	2880.9558648876	1314.80418536036	281.55154993812	373.310778198284	338.835067909786	618.720416968687	344.76818581876	310.310043837491
CLDN3	283291.959371852	2731.30397923941	1074.1876535219	232.974850278954	226.085708007638	270.847405586397	872.911618510121	287.025833858813	211.178609552413
TSPAN8	306479.42221384	3223.02255663944	1521.53237954471	427.719567773809	299.015931577262	251.223627742418	998.381744520826	288.85116712085	244.597199114555
FXYD3	326092.467474953	4973.33511357946	2412.88232405892	711.048700249507	571.479845120235	493.638739717861	1805.20508477556	445.424443023836	344.553052642667
LGALS4	298114.25613443	3371.41269159136	1517.60857742527	525.242044727699	280.450484242748	550.729240092592	914.306264088434	340.577776693802	192.381506416179
LCN2	233648.119340415	2390.85912128842	1287.02960583964	183.329335821922	246.443187082161	298.820969224589	591.36267574145	161.932527454441	202.94831355018
S100P	178849.881657599	2406.63704175478	1731.75727702648	352.384353243696	288.890926770404	213.651413071128	716.467095691813	227.954343784384	269.827382814744
TFF1	211429.136849029	1726.24976512387	642.841008136868	252.084812066009	164.637359428672	215.171326270728	531.744320056339	133.658739366935	169.477178720699
ELF3	183072.931934847	1865.97001034838	934.222046732926	244.131124360807	301.537364850682	210.505688485501	460.306818861534	241.95195991903	147.859954605048
PIGR	202804.634763546	2070.53752594539	1238.21199569846	327.420212314377	156.364309542622	134.773064849833	412.141192551731	191.955919230244	172.529045569574
CEACAM5	175528.926936788	1269.95637639741	466.408037609995	184.40604291671	118.000032552405	133.655131197025	237.923085395929	47.742536156239	87.5583995912872
IFI27	496436.017977407	116165.970283574	12198.7336331266	854.151571763107	661.824589372492	734.503622365955	2092.71000912308	530.066609806645	621.753850091085
CD24	223747.658904265	4075.29508607063	1160.35177451313	1835.302472088	233.620792924749	334.195316653605	555.052767284605	169.940655183443	245.165729559399
S100A6	2541998.72882173	358958.20415934	121398.139714109	6206.41345347559	12577.1376080724	11548.2645840876	38123.4643575131	7081.36459512456	8938.0270460077
GPX2	182111.239322847	2319.59980776349	1400.7889616492	339.804523052181	274.199309295541	232.176354251041	501.052432732162	270.493845097227	195.357920863447
C19orf33	132269.018330926	2038.72675815608	806.000335254843	124.395845734439	167.170993557457	120.194084544437	652.226095916758	208.568974745114	145.518884275766
GDF15	134097.869009583	3921.44214448783	628.35016369135	226.833256538792	99.8353332352088	128.280286325624	419.959101813131	123.984754908124	168.302341955157
SPINK1	159123.654668563	1545.88291269214	937.072968898331	314.978672955552	139.365935717352	245.660941193656	352.784539043101	131.703524171129	112.8415261703
CEACAM6	125797.115693437	1232.14662182374	458.930464476751	148.580816529713	85.6965449532413	203.854206689793	343.750847199977	71.0973297350539	69.5805440770861
PHLDA2	148886.996627431	13353.7022187629	3723.52593171456	276.54048568407	649.522654530766	373.210096422099	910.060423102324	224.274920573162	205.499054485313
S100A14	104967.383596666	1962.24454827255	518.304249489977	111.488306984016	128.546849587454	122.259693298033	248.185131328027	113.104090821313	88.3959321739375
MMP7	59592.3505836982	2214.28655224484	845.638138057753	64.1447733173096	77.8106469718989	109.602871047878	139.391647074236	21.2501289272987	29.3781364304527
PERP	162007.402668577	7537.695775978	604.68590888167	180.196548845297	649.793403183892	801.666701949366	2037.70211607044	214.092660224398	446.259961937697
SPINT2	151100.799500424	2298.57975554413	5896.84175362437	704.311287860195	386.810182542531	376.829678084541	570.835942046011	220.695417789582	164.940188303518
CLDN7	101776.890220696	843.62042871309	814.508423337699	52.3662191495953	99.0174863135106	102.259092178409	289.143405144119	86.2936815632681	138.895258578366
SFN	74598.7820586709	729.89095474166	288.025017962073	87.7321329525416	175.856864153467	102.651522325035	371.295281389565	138.216483594683	116.549398115832
LGALS3	316158.939946157	26594.8538778286	24002.9630727963	705.112591431437	1877.33317450229	1762.69889686556	5233.46164118321	912.455287690714	1073.41324480646
SLPI	67920.6429042977	1675.11345637513	488.941848904034	62.5190599437521	77.4847369714413	67.5603546134707	114.849194513915	72.0502425906059	47.921322366555
SMIM22	109516.839409447	881.471654176345	744.838228583163	119.950622196531	180.335315094122	198.69349847779	203.166426889247	105.236636323654	142.535872241073
GPRC5A	77821.3510164232	3616.06806383536	407.990375816143	223.401756802715	102.350175103994	72.2028153946271	264.370045169754	52.5006854055516	93.5832824464513
