	Cancer_cells	Stromal_cells	Anti-Inflammatory_macro/mono	Pro-Inflammatory_macro/mono	Other_cells	Bcells	Regulatory_CD4_Tcells	CD4_Tcells	Proliferative_Tcells	NK_cells	CD8_Tcells
TFF3	949928.729955841	11481.1866432914	6418.44559215054	2472.77986235706	1994.0946285507	1055.51797966028	1175.42359696119	1060.94613703844	3524.493663336	1187.04310326509	781.766555641335
KRT18	666738.883442919	12551.0201638801	4284.93706522962	1502.88019467686	1302.34846429402	829.080560629272	697.952881766456	775.573510186432	1605.69286109015	560.918163796031	612.988450577971
KRT8	626487.522609738	15017.3903969115	5249.35604811259	1477.67843526528	1402.30553542225	1029.35582579895	783.184474205457	777.217383539725	1665.63708719503	777.213049389543	673.578508607053
KRT19	422725.239917743	5581.44058527716	2673.46795276673	1024.30546335218	934.936981292688	469.231457811959	527.093261960144	330.242230932695	1067.03836697338	374.617435301639	331.456088934886
PHGR1	438916.992380855	4414.0320383365	3225.52551137664	1025.17475413509	885.366769609027	448.298097082949	481.665365652817	440.131000497985	1371.51242941825	491.566473802561	391.194765846109
AGR2	361659.998263414	4516.34074102803	3109.39088880125	1111.46809389147	762.530795647949	599.412844080173	649.301420383473	532.470785759202	1027.24124831991	339.842714581903	413.920868334658
EPCAM	339540.501842071	3753.95482789084	2605.22259034096	663.904536890922	636.695189583373	718.783430850379	311.830455838217	322.192248660341	519.780164567834	309.136223949405	305.405574663125
CLDN3	255039.369577976	2438.53062211187	1522.36973891885	830.200871570176	453.19356606484	224.432477491728	268.886707747678	326.673596872924	730.022470365521	273.251553283418	194.147367032697
TSPAN8	281404.065550055	2824.48459949786	1868.92387192949	719.854540212836	530.134955185658	405.784177887233	264.838886666402	272.14126148014	954.479824293285	292.62414259862	255.832323376474
CLDN4	278718.433401344	4921.07299092878	3201.9293425745	1138.3669070968	748.632334224414	511.473709844203	447.587006433172	485.697822744981	1285.23774627051	383.499668454358	435.250200943896
FXYD3	348765.927842595	6163.97010666428	3142.22521906948	1106.77626322091	836.218443789443	580.336593889101	450.849898352154	573.523086145599	1560.09130825096	428.8501088332	390.207409871883
LGALS4	289624.219225066	2593.12931340499	2029.49475431965	639.766847753396	532.858697511207	512.600182134001	401.663376911062	317.959137369085	846.407140829988	326.413246549388	243.126333981443
LCN2	234030.288813664	3243.2135366335	1738.79811626021	445.972882053338	450.654424178332	149.615703239732	246.502787567545	288.095152215375	625.509158692503	151.539600732506	140.92797633892
S100P	164700.782016859	2755.92725215213	1595.01230526063	729.633208189052	503.194058547501	240.200417431217	320.946073478389	206.702657853568	678.620018500325	222.552522386363	316.480913421889
ELF3	170298.151701505	2249.94554904152	1614.65368884806	594.453622359577	432.848873510851	209.068167406415	310.334733671041	206.609088226816	455.089028379441	214.875692187971	161.430257333742
CD24	263537.60881254	3176.40078658317	1424.79624694141	675.126796092772	387.830482299633	1952.58369545084	332.093669885938	265.587999707009	513.970003781895	155.508619172242	243.886337711206
