	Cancer_cells	Stromal_cells	Anti-Inflammatory_macro/mono	Pro-Inflammatory_macro/mono	Other_cells	Bcells	Regulatory_CD4_Tcells	CD4_Tcells	Proliferative_Tcells	NK_cells	CD8_Tcells
TFF3	924796.691379722	12080.9239837682	7028.1546103688	3112.09341257144	1965.90128621733	1135.41601224955	1176.12301752863	1083.03357143706	3682.15747545201	1229.75036669358	774.64301360503
KRT18	619010.306563128	11848.0848661606	4502.40039142097	1605.50365279032	1476.60210973448	869.87323553667	773.634848544311	831.001645475118	1643.95859970118	589.842388835052	623.711561866482
KRT8	598831.945347811	14277.2607874508	5847.16935958403	1691.16562078964	1539.05132793774	995.364456782763	822.949991934542	811.420103296529	1745.22854002941	807.531907771063	691.928835855082
KRT19	391736.068927015	5555.94974401709	2823.83653037218	1213.14376693041	1057.54184256858	487.529830265906	571.607744656083	340.971874157254	1104.24933154147	381.345026967851	340.397436340949
PHGR1	448168.671991533	4532.36035863738	3733.38356962997	1160.59623045204	990.867298284715	476.890214766268	536.49729663532	438.195231558819	1586.65860153059	514.912023619082	390.59945095164
AGR2	339111.715477674	4275.27707709035	3373.3750685433	1295.84885277199	765.805285294732	624.832012684938	690.623434484604	539.743345800813	1066.10498279529	346.520685370097	407.586157532292
EPCAM	317020.001315718	3721.60358584002	2629.00806368816	803.962923962762	706.680375475041	722.295357562356	330.489549001351	341.7751270969	618.720416968687	344.76818581876	327.561701718255
CLDN3	256787.416419021	2692.28726535573	1630.82685462005	1065.00318401797	426.917825083381	242.800180781025	281.162159733656	326.885995548066	872.911618510121	287.025833858813	193.651612372107
TSPAN8	273224.316682278	2787.12618801936	2132.69847863172	983.385659493921	543.001129399177	428.877537591307	252.649830571144	285.235189679259	998.381744520826	288.85116712085	260.601498698496
CLDN4	279216.077530758	4839.23433613162	3646.93015226507	1183.4752625091	855.640440426608	497.339365937826	475.079232336477	528.14577839605	1314.50510668858	394.268590338912	456.206781034094
FXYD3	328514.124997128	6429.89494633506	3432.07791430276	1186.28661170852	961.186073931875	583.965762857456	447.59540802426	596.161844156267	1805.20508477556	445.424443023836	402.229175108056
LGALS4	280506.126179823	2742.48101761767	2422.24574530596	681.389181765709	602.239714505696	491.401932817205	412.285793031769	345.513164267384	914.306264088434	340.577776693802	261.999875868169
LCN2	233417.022430477	3563.83510391677	1941.7018713877	430.76232946501	525.132602773996	163.739168234989	259.553106361767	294.787435797902	591.36267574145	161.932527454441	148.668981715834
S100P	169117.267875665	2880.41298648251	1768.61308201747	975.705818133676	564.583868993315	255.698544319814	354.441417443662	223.381583422131	716.467095691813	227.954343784384	326.055749259008
ELF3	178987.803031425	2401.12113570309	1920.44885941683	752.228580799381	488.479572213299	218.015037991252	340.011631695801	210.507913947331	460.306818861534	241.95195991903	168.165490964063
CD24	258868.118815718	3049.84634865509	1939.75301810843	836.905652127161	432.167208118068	2089.97698374428	339.396248580811	267.939193032931	555.052767284605	169.940655183443	252.669112214114
IFI27	412919.842531643	106281.831548369	27091.8566159537	2423.62437437807	1604.62700480753	964.769262243307	683.74345825802	582.629888863692	2092.71000912308	530.066609806645	703.823497062233
CEACAM5	192505.773357063	1042.42901738867	758.507320518667	227.533619865628	211.503705508329	234.722608832813	93.8296812208621	138.251518691948	237.923085395929	47.742536156239	114.284096424282
PIGR	210388.815623309	1366.45575840598	1403.25423649479	387.964809145027	449.309263798525	216.216617482191	114.83724366858	212.818668728435	412.141192551731	191.955919230244	132.046678004039
TFF1	174133.274320507	1713.56635721834	1172.66932047304	450.556705573641	355.350406767588	397.639115257779	166.146965689174	198.361322333063	531.744320056339	133.658739366935	170.228566422639
C19orf33	131658.767076967	1824.7760332368	1495.22746964637	448.890627498575	389.130738152553	82.7616204273301	139.415236173921	135.418146744545	652.226095916758	208.568974745114	134.863903120322
S100A6	2413623.42201313	336115.032981944	152918.486137438	68133.0531536412	21071.6531199658	5664.07320676216	13883.8723363161	12726.8555201133	38123.4643575131	7081.36459512456	8505.20598921163
GPX2	146814.866723954	3274.01721214271	2129.92689851639	839.258148446867	396.448568653916	336.804894484498	260.819739261404	235.264604661375	501.052432732162	270.493845097227	196.665303960468
GDF15	92609.6858571352	10251.8724252183	1279.33140487465	455.90737481711	197.62529361123	202.207315048174	160.746625245982	133.382886846271	419.959101813131	123.984754908124	147.423405788466
CEACAM6	112243.151558742	689.044297046952	586.926002035549	256.27724573667	142.475924307826	170.8609950532	129.914355709423	130.494067553015	343.750847199977	71.0973297350539	101.909827673848
S100A14	91545.0451851682	1835.38421929231	1041.50792505461	435.748132730913	407.887396763511	78.7313523472573	172.539497235417	111.296596029837	248.185131328027	113.104090821313	129.161958291403
PERP	134388.758693863	6914.81872929483	1056.57853436445	342.467603808231	550.859275562767	359.964228812747	632.284592440849	853.357009189989	2037.70211607044	214.092660224398	411.037036844917
MMP7	63429.1235976252	1313.08719987327	778.630954931425	132.498554456631	244.99089503718	119.817140492497	76.048803914864	130.449712959106	139.391647074236	21.2501289272987	50.6084964129447
SPINT2	170016.701377434	2164.37030218465	13527.1927753708	1981.64075019081	1528.2701769331	1016.83073623913	321.448614230867	338.882554557036	570.835942046011	220.695417789582	184.258581601686
SPINK1	151387.66895678	2135.53391334877	1437.13097651208	285.509042138381	226.986723559142	136.518733146277	174.998625266484	183.398658931831	352.784539043101	131.703524171129	168.213749221301
PHLDA2	124777.879798095	14373.4997241074	5836.96810073452	2448.79948517949	785.574588327814	280.247649602191	646.90741523986	411.786539841833	910.060423102324	224.274920573162	258.880001099047
CLDN7	95206.0183889058	1076.38956868393	1461.09760595231	381.382240540553	209.750953962133	81.8706231643236	114.52363015091	127.591707697874	289.143405144119	86.2936815632681	103.550369685373
SFN	65498.4619289201	852.856717797447	556.057890404277	172.782904549976	242.136493681537	94.5489499221503	125.486571399056	81.2215946671251	371.295281389565	138.216483594683	112.762585230269
SMIM22	102257.92311043	922.731607491462	829.828583746566	262.573554787346	239.910846948093	85.7906961527295	192.611049884885	202.824592001897	203.166426889247	105.236636323654	96.0809970761464
SLPI	62908.9512684914	1343.33846814981	542.453901375077	272.258561106032	119.683323008836	203.200097321605	71.4198850607539	71.1888104037221	114.849194513915	72.0502425906059	49.5733245303031
LGALS3	292562.998193853	28968.0616908194	42919.3060383026	7426.71122883735	2388.26434720257	568.518568531286	1994.41149757296	1655.11398539954	5233.46164118321	912.455287690714	1117.80020830489
GPRC5A	65982.6921144173	5156.81212217146	576.205333797085	314.390482201071	178.540842868062	133.652021666106	93.1129020070537	59.8832417245232	264.370045169754	52.5006854055516	80.1896925904666
TM4SF1	118481.497925429	41458.9153974756	843.44274965588	901.938821876156	302.353319553846	230.178099358129	191.799000058808	175.774617586869	464.154364184493	81.581941817415	154.497470331962
CKB	96145.7294321648	2740.57491627449	1362.17032425719	215.270943549672	181.260809997042	169.53601767138	129.034176725209	133.621874379325	412.348464490895	96.2190090719297	93.821649881261
MAL2	48605.7823412949	513.863758925525	460.824836545556	108.221262845296	115.512330348764	19.2586023672419	82.5384141148188	69.0874234387326	118.082920416167	58.3134074235931	52.1815296366537
PRAP1	72416.6979268221	802.217135003032	679.654705605639	146.67874731448	195.646360971864	268.171051983557	97.6617683626117	159.970862005804	389.967170712358	107.757047557343	68.5978650992472
GSTP1	357224.101549031	50288.1842527599	33896.0760012258	10840.8341545526	6577.43155353789	2120.93147917584	1229.31589223277	1322.29264606828	8259.95608172914	3457.05269882592	1686.23561327583
PRSS3	68736.0300252205	1275.00941134356	361.528957558922	334.602963191479	216.515312277279	57.1495903593585	75.7714790849681	78.8421345349477	232.943659087213	150.829448785246	43.1051906211162
S100A16	74365.2084720728	19780.5622537601	995.085219808242	482.552851620754	298.068875180416	140.080943161836	150.746160419133	129.881290634125	247.242036319666	136.874031930643	59.5763086535012
TSPAN1	59609.6527875538	1002.93480204068	546.814400004794	164.852160311288	182.428593759983	140.235687729302	62.2316758745139	122.342723074889	337.179019611526	29.8522336713207	56.5842183320354
ATP1B1	94081.6993554514	2619.24453837234	3881.16779552193	674.503702051484	552.616081476755	141.819386423891	462.754543253549	110.03933229954	371.427714780315	174.677580282626	137.82478776845
MDK	65113.5201591785	19679.9515515488	593.718316188457	249.010658506695	226.284696561379	53.321681525039	140.208194097737	130.991119814465	216.699328803897	120.415649162759	159.320641636904
CD9	188790.398548623	31519.4777896578	22186.5613702304	1845.71894106504	3859.68111907964	550.657463228579	280.802548650905	294.592835928124	1086.63989756025	613.578664607556	459.084273509916
NQO1	58395.2130065842	3618.7771195845	836.652866435908	194.949635931371	206.341126727121	81.9417445866667	173.450729748117	104.531528629989	344.766878383287	142.787888606095	135.619596602457
MGST1	64525.978512684	2888.88897508751	2996.92694118846	1051.62213977812	186.220539907921	184.654952476276	55.07100655	72.6119220543415	396.242991726004	140.082362869278	33.2253137690584
MUC13	55211.5125864801	864.576927797384	706.099141368835	190.289604822749	184.393321969993	63.2678627253822	130.781132150685	122.814630871974	344.77937988337	76.2392559467851	57.2482830755071
TMEM54	50211.7002092205	2267.54457984022	660.717787569179	221.044288806124	36.8643056841939	183.311324713729	22.0946351911231	42.7859754461161	117.450948408939	74.6592589464228	45.1925591435457
TACSTD2	40492.7272763312	1136.60269803068	331.529983804583	158.453921665539	134.188418114332	12.6115202189441	60.1389109604635	43.8497230904213	183.561846071379	57.2224636510335	26.9468632293129
FAM3D	46452.6170992588	646.41741726395	276.299468982316	83.9472709416012	81.972035835566	54.255276838855	62.7950953780907	54.9696703108936	205.648380606168	27.3581785635354	18.9229975270927
CYSTM1	76966.5460974852	10611.1685210628	6094.75549788782	2226.77133685516	916.250789321686	708.845202771261	320.181127302107	453.143223240083	987.617934795586	283.154597293973	292.245161793966
TMEM141	78383.6023739961	6181.01313900622	3571.06155088944	666.858352733081	614.58959975599	525.391600025612	304.580145477168	287.133260405741	1415.11008149783	394.917799212511	274.848081869754
AGPAT2	53856.7743953264	5145.16824586588	4387.9788891906	788.441313886336	504.719935856109	188.126885656668	270.206253116501	224.339559392904	1020.09954611218	259.773455330834	319.966538192438
PDZK1IP1	35430.070187057	455.648760273226	362.565613772026	141.041333274582	283.750696595005	110.144308165442	38.2449174201461	32.6877332327168	133.529531755269	29.9213360662072	76.1875187804545
RAB25	37880.9179126502	533.75382641775	241.393567902242	124.672556281331	69.6188340613025	55.047162698897	32.8376237709658	40.43522912797	76.6500515396715	53.6172140661491	27.1501969250982
MISP	47615.2929609881	336.950758951573	496.97700036831	152.157505816639	126.883989490786	56.5432979952072	60.2578181756861	47.1353074070912	158.071861649549	27.9455638677233	48.7354893131306
KLF5	46031.2261495344	790.370237227691	354.782022844962	118.897383876078	189.362071375679	62.3197633474545	77.3528106501008	60.9299438470005	141.754609673113	56.3681516666603	38.7246379848925
CAMK2N1	42313.276020152	4390.10530498019	496.475200296973	108.09280124501	122.433090045741	26.6813580206783	77.7921729035079	73.760940230845	165.246350183575	31.6996615660069	57.7034573372678
FHL2	36509.7095251804	10344.0531846593	438.055153861111	123.078696078176	139.221106180299	88.6711739981384	29.8344933713133	39.9678658331918	266.695969145412	26.6021271099781	32.4376312535793
ASS1	35633.6974811164	2766.64275807547	407.379235264013	228.515187961095	104.896668710536	129.42205219195	58.5881861833704	37.3444591576655	338.140058613795	72.120036253371	73.3132431925709
SLC12A2	46998.2635727569	3068.87841222595	760.035657311896	234.860942868683	303.039311332936	130.036513116169	113.554398149145	126.436637384283	388.074426291169	126.022738701094	65.3831583841403
PLPP2	34698.9943397919	1187.55926190239	175.327324664238	69.5652102314961	77.6399179199599	18.0067202123463	24.3474409389779	56.2496553303652	187.544590590271	38.2069964968465	36.1719468556664
DSTN	167784.950812849	81762.2871622197	8023.28536360319	2006.16403870956	2071.92961672428	429.703574694957	708.563736136907	999.745308894431	2939.19570931777	1340.93302347556	708.635734962555
