	Cancer_cells	Stromal_cells	Macro/mono_Lineage	Bcells	Regulatory_CD4_Tcells	CD4_Tcells	Proliferative_Tcells	NK_cells	CD8_Tcells
TFF3	68.1647785399351	1.25802428220339	0.738309077390003	0.678314566350189	0.314862256022341	0.467611555934991	0.757177949176627	0.449114625807677	0.392236372236768
KRT18	46.1927591981758	1.26557785173841	0.498650478180866	0.244709931241434	0.209564192821115	0.23010216080368	0.33805430901627	0.215415137024447	0.229951884573669
KRT8	40.9610642309841	1.36340064719113	0.66387117647279	0.207534338747211	0.273395922527632	0.261123095464323	0.358878884348034	0.294917082693361	0.291767347932989
KRT19	24.0172815626496	0.813282911669009	0.311972717761115	0.120292708439117	0.140092193371969	0.125465534233023	0.227071560575664	0.139270240309642	0.138618836467479
AGR2	25.312503730822	0.54561572862794	0.375815861062293	0.1889777614429	0.175849928570638	0.138197591562338	0.2192277733534	0.126552113469212	0.177430212190338
PHGR1	24.0435406075266	0.490413958148734	0.321757642000387	0.115742389842964	0.189031656423844	0.180445938963146	0.326271462847445	0.188049971014305	0.194091390459068
CLDN4	18.5726111104144	0.493751126690102	0.362252589411925	0.186682401913532	0.140544841392153	0.184771731402952	0.270307363957181	0.143990028556668	0.162906254528636
EPCAM	20.1298228995431	0.307743824343088	0.207935053243838	0.0786037294167111	0.12531097008242	0.114976952835582	0.127230152310786	0.125912086678781	0.12338387877419
CLDN3	16.7973029496677	0.291758003744158	0.169881773587245	0.06504205747136	0.0758912440967879	0.0919066894989694	0.179500587229721	0.104824119969348	0.0839677492822705
TSPAN8	18.1721631428573	0.344283402468213	0.240628923968736	0.119411003700439	0.100372072397392	0.0852477501113149	0.205301551291981	0.105490746210866	0.0972554764610244
FXYD3	19.3350844758416	0.531251862010881	0.381595084736362	0.198510999668801	0.191831305059535	0.16750650528731	0.37121212035229	0.162672553285841	0.136999407279268
LGALS4	17.6761652007636	0.360134442805713	0.2400083783303	0.146637386905276	0.0941401220992248	0.186879033076237	0.188012747031369	0.1243817159002	0.0764937421054948
LCN2	13.8537579848128	0.255391669972549	0.203542529447695	0.0511819931741056	0.0827247340473673	0.101398962913621	0.121604461792484	0.0591390484146235	0.0806952614450834
S100P	10.6045919953964	0.257077068087694	0.273875795052488	0.098378873634821	0.0969733648096821	0.072498365046663	0.147330224137648	0.08325074143724	0.107287371944062
TFF1	12.5363221459393	0.18439807112814	0.101664704708578	0.0703771879858378	0.0552645903270889	0.0730141174135672	0.109344881752281	0.0488132358749395	0.0673866414882058
ELF3	10.8549904007585	0.199322993487276	0.14774634366998	0.0681566727147192	0.101218453664537	0.0714309258658649	0.0946548797603524	0.0883627823056755	0.0587913123562977
PIGR	12.0249473273913	0.221174903942921	0.195822070023418	0.0914093699003889	0.0524875370853779	0.0457325636816076	0.0847503739391865	0.0701038301524989	0.0686001090403993
CEACAM5	10.4076817736899	0.135656792519686	0.0737619952945373	0.0514825889021646	0.0396096212926514	0.0453532150927346	0.0489251519151147	0.0174359543543535	0.0348145191410276
IFI27	29.435308392031	12.4088537381975	1.92921832448866	0.238462544576586	0.222157746741016	0.249239220920367	0.430333000012363	0.193584546558443	0.24721855831131
CD24	13.2667274398727	0.435323189223136	0.18350854880253	0.512380837347664	0.078420581195421	0.113402545367543	0.114137898451988	0.0620636804259974	0.0974815326035153
S100A6	150.723383891182	38.3439301773656	19.1990023504814	1.73271020476517	4.22182644212461	3.91867429958869	7.83949267519757	2.58617073552746	3.5538922037038
GPX2	10.7979685135718	0.247779747161964	0.221533465262036	0.0948668291488312	0.0920417610484935	0.0787844360294101	0.10303357636803	0.098786506037604	0.0776772086630123
C19orf33	7.84266089544532	0.217776876415292	0.127468199821583	0.0347289063079987	0.0561150671122605	0.0407854761758638	0.13412006982268	0.0761710503080363	0.0578604680493013
GDF15	7.95109940872763	0.418888611655953	0.099372991201063	0.0633274436727673	0.0335121919505917	0.0435293682014143	0.0863580043952059	0.04528021972145	0.0669195089543486
SPINK1	9.43495974913201	0.165131276510225	0.148197214346281	0.0879359335314421	0.04678161366107	0.0833601628763171	0.0725446088481281	0.0480991757170237	0.0448674654984169
CEACAM6	7.45892070915942	0.131617952976259	0.0725794240912295	0.0414808808602986	0.0287661589430415	0.0691738775814899	0.0706869717674569	0.0259653109319545	0.0276662569773132
PHLDA2	8.82799495320094	1.42644302192433	0.588872146504217	0.0772047375134464	0.218028298895048	0.126641436256272	0.187139656406695	0.0819069867830828	0.0817094738967102
S100A14	6.22385805095453	0.209607043600208	0.0819693327068837	0.0311253719513349	0.0431499205583795	0.0414863994944093	0.0510353807537845	0.0413065145596241	0.0351475345257996
MMP7	3.53342455767788	0.236530180862692	0.133736881293747	0.0179079760222887	0.026119062786905	0.0371915581608911	0.0286637065817142	0.00776071628846826	0.011681183048799
PERP	9.60594656038542	0.805176973762736	0.0956305114169133	0.0503073798399402	0.218119182358246	0.272029678475989	0.419021489321198	0.078188344227434	0.177439583858042
SPINT2	8.95925853587006	0.245534384316695	0.932580012798114	0.196630044864841	0.129842378101435	0.12786966942781	0.117383460863973	0.080599723864717	0.0655826667643768
CLDN7	6.03468330729465	0.090115568999267	0.128813746001166	0.0146196322539004	0.0332376614598527	0.0346995926098674	0.0594578075447723	0.0315151396206178	0.0552268161700807
SFN	4.42320475559616	0.0779669818976519	0.0455508874343039	0.0244931091349636	0.0590306938071271	0.0348327559885527	0.0763510527661498	0.0504777603579658	0.0463417704128826
LGALS3	18.7460932752794	2.84086338841844	3.7960461794422	0.196853753273154	0.630173182784016	0.598136872840458	1.07617932665392	0.333235936492762	0.426805036775313
SLPI	4.02723613451433	0.178935688517936	0.0773256964930761	0.0174541083943097	0.0260096630569695	0.0229252649493069	0.0236169360344803	0.0263133222943737	0.0190542289783903
SMIM22	6.49361010361729	0.0941588384648299	0.117795469806812	0.0334878861529069	0.0605339963223893	0.0674226937139227	0.0417779900721543	0.0384332575324477	0.0566743781931082
GPRC5A	4.6142813649697	0.386268539762241	0.0645232966725399	0.0623694355324911	0.0343563606501998	0.0245005918408498	0.0543635545084322	0.019173668346981	0.0372101019801688
CKB	5.01286006757097	0.241064464749336	0.531503716010483	0.0698267487165387	0.0261518315766798	0.0525597983783544	0.0847929961634841	0.0351399482572326	0.037762679523035
ATP1B1	6.2649156767045	0.315408371994342	0.35228568253256	0.0437464831652205	0.181875279860897	0.0550605607596669	0.0763782856164228	0.0637936431900001	0.0727384151726373
PRAP1	5.02781695542815	0.0788385237614009	0.0673745529915729	0.0397550544582947	0.0459181128713659	0.031197318098427	0.0801906340330944	0.0393537317837736	0.055536487864706
TXN	22.9827472074009	3.67670597856603	4.46457778444781	0.325911884900552	0.962929559028526	0.65122638760477	2.29320332112124	0.465445172353432	0.71053196752201
GSTP1	22.3122005822292	5.07010171752518	3.55418020392996	0.529091538324878	0.360562383034771	0.488559465364338	1.69853045339538	1.26254317240427	0.719530120021641
PRSS3	4.43826505782216	0.155608633242409	0.0463782791921819	0.0130888938433648	0.0284575904653513	0.0279180971756407	0.0479012109713487	0.0550841156763348	0.0235290282207014
S100A10	34.2332636079445	9.01278905245906	8.65919639252102	0.759210562843553	1.33509660664484	1.44458286244033	3.01327431892778	1.13813090239353	1.30587093528549
TSPAN1	3.64387119103354	0.116743738172378	0.0442428085662033	0.0199565423296546	0.0238053812071189	0.0229626451381506	0.069335578469115	0.0109022734352713	0.0214438624876605
CD9	11.6073393433767	3.21996651190159	2.02897903537196	0.162138615468663	0.0948034063292574	0.0798489600503543	0.223450456590579	0.224083813936736	0.18053371217327
S100A16	4.98900862752225	2.10625717904006	0.0950047986869635	0.0384487626313768	0.0377060068224997	0.0435703438845521	0.0508414480528965	0.0499874863209826	0.0478252771851341
MAL2	2.85749833462741	0.0588708351856489	0.0446069260495663	0.00793691804365975	0.0184781426823535	0.0277502070083587	0.0242819010619648	0.0212965207117871	0.0240932242231817
MUC13	3.31839779778065	0.0522281315695723	0.050655059018875	0.0256183663342886	0.0333683525224076	0.0218382940924833	0.0708984733865659	0.0278431833270824	0.0107562260940549
NQO1	3.45606842030075	0.331548916786889	0.108690327438877	0.0549622327436533	0.037854783664389	0.0213053405386734	0.0708959026490955	0.0521472738679602	0.0358528048294082
TM4SF1	5.63360629525411	4.78616372111885	0.167210234829857	0.0437422841491628	0.0532921449657427	0.0521295228528851	0.0954460671271136	0.0297943747481896	0.0490170656286496
MGST1	4.08706990284386	0.345783049490422	0.292747641313673	0.0383900426862658	0.0265792953584815	0.0189586181703426	0.0814811582206641	0.0511591943261174	0.0270552963096564
OLFM4	4.06965156902108	0.0848865074185192	0.059108503751643	0.0295997103972325	0.0181378225220912	0.0175948660991597	0.0349355677180647	0.0151029863060857	0.023240659982879
MDK	4.18865479426715	2.95832912248128	0.0721369954738822	0.019585056820681	0.0405458296990949	0.0526241304811811	0.0445608191571285	0.0439767538842268	0.0441590521568241
PDZK1IP1	2.62984081349887	0.0801048356857968	0.0265224310848407	0.00806966634090564	0.0240618002960259	0.0139258861395417	0.0274582544834148	0.0109275101801119	0.025876936714487
TACSTD2	2.45520092765365	0.13354862556756	0.0364618039203255	0.0140555873439093	0.00876046857259201	0.0200970055106405	0.0377466154237035	0.0208980993594052	0.0295495309326158
FAM3D	3.03314032199846	0.0514869618818358	0.0243038139043185	0.0260702744102071	0.01375078128513	0.00945301449464809	0.0422883649373952	0.00999142465098641	0.0116411634900417
TMEM54	2.71347287155122	0.249447770511593	0.0485330385628968	0.026618985926182	0.0196657256639544	0.0305673510562437	0.0241519459279001	0.027266155841819	0.012309163087203
CYSTM1	4.97568475274347	1.06371458035667	0.625363629358518	0.156084120253285	0.100977979990885	0.210874082500957	0.203088142596829	0.103410313551135	0.168767954451856
TMEM141	4.73121439999866	0.582215967960375	0.294167170416188	0.12771134399148	0.151493471039371	0.125728908712657	0.290995199556521	0.144227124806634	0.111878769311769
AGPAT2	3.27534307899657	0.439824819431522	0.415573495479281	0.0683736223434729	0.10768716571268	0.0895784644413377	0.209767476657529	0.0948713343337797	0.0985506216727337
KLF5	3.11109661649042	0.0887313496521218	0.023315214847031	0.0103179973281198	0.0311895724602475	0.0263470657674146	0.0291496127892915	0.0205860978202502	0.0171604311503371
MISP	2.54498439332879	0.0466462418087895	0.0401067173428885	0.00750353710863529	0.0174919933117929	0.0159246212887127	0.032504999806301	0.0102059424411332	0.0219403524708651
ASS1	2.6045461311775	0.285596723862617	0.0335893755890119	0.0354122733449394	0.0209834908095839	0.0310627311866322	0.069533201070991	0.0263388114957478	0.0253327833628453
RAB25	2.2743994416518	0.045453906904698	0.0379922323842895	0.0119224937983538	0.00837326556746248	0.0100213858309186	0.0157618812383809	0.0195814335041942	0.0179070647042737
ANXA4	3.87809261942551	0.531911436043265	0.401343354209979	0.15907117061122	0.102215199885501	0.0734163974324346	0.146627883684399	0.0911727578837215	0.0478574924584314
PLPP2	2.1287027298393	0.124243068646294	0.0255835204571233	0.00430975650761511	0.0171649117463991	0.0215920753095842	0.0385656043852062	0.0139534993439787	0.0102407741090362
FHL2	2.56642400762573	1.13583644650012	0.0412494792665825	0.0311942998384898	0.010086050736915	0.0167880518205162	0.0548418443039041	0.0097153086400852	0.00636285282919338
SLC12A2	3.11847868440325	0.311621689933107	0.0860243963327547	0.051893617764266	0.0588214491830443	0.0316795429429825	0.0798014208208117	0.046024507630095	0.0333554659758208
EDN1	1.98200264095057	0.563670661073814	0.0406782950452026	0.0245741138744172	0.0089167648801788	0.00950212422648544	0.01220841713233	0.013022627792612	0.00686674875762306
CAMK2N1	2.54358910360901	0.383673104971055	0.0407856823003971	0.029479455887686	0.0154583118064261	0.0137607957529095	0.0339803208784715	0.0115769688125611	0.0179878364701504
CDH17	2.24114206953474	0.0302570709747278	0.022799039040208	0.0143293795280058	0.0139155181138753	0.00906711236074488	0.0239161896873801	0.0269110005463831	0.00739802522458587
PCBD1	3.73177510281565	0.56376649119559	0.488280718781657	0.046464818957781	0.0815038240156933	0.122509414454889	0.134382916411732	0.0569664131579682	0.157464948324786
LMO7	2.80161863115225	0.269335223875454	0.0354922817547328	0.059415822999157	0.0233821525646111	0.035664333165572	0.0859280929620029	0.0222008232605951	0.0181308379641842
PPP1R1B	2.18385293246274	0.0408251667055037	0.04764662662766	0.0133018582121841	0.0117149978695998	0.0312504486137735	0.0330197203399205	0.00995901112983792	0.0109928033561943
AGR3	1.88581688378306	0.0355363062886867	0.0348856727052471	0.0279633912119133	0.0176032921089344	0.00593857615128545	0.0456569518594925	0.0125812091932813	0.014010353164417
LSR	2.4867258604828	0.107865170344773	0.0406672779130824	0.053829465888269	0.0645112546005545	0.0405638784865026	0.0674080110686055	0.0387396499979851	0.0287317915846369
FERMT1	1.95519860032808	0.0253699586558203	0.0141992417214819	0.00626087966307173	0.0121703930798479	0.0282239083922291	0.00718580938368428	0.0166159900616633	0.0115731243262219
RRBP1	5.25219370228961	1.8536762698237	0.449114592653389	0.042766166663018	0.0676018676153649	0.0704530186207826	0.13604913473437	0.105647724203739	0.0932913612997548
DSG2	1.8582980119457	0.117644257093133	0.0284543465117437	0.0162042486538087	0.032195991672917	0.0176034433492895	0.0205734240409523	0.00741726961646185	0.00183733281042307
CDX1	1.96275091097342	0.0762503708397891	0.045754351426732	0.00424918511952031	0.00844599039334004	0.0132558196031882	0.0373650370225882	0.0125860202893414	0.00556199679929122
IGFBP2	2.28791040156507	0.861280605272573	0.0393771175324049	0.00877553662082668	0.00953489369653278	0.00828847852627086	0.017862090659839	0.0632906065964708	0.010969402054421
MUC1	1.78559551847746	0.0989646194231432	0.04703966914752	0.0128036904532407	0.0260158211787463	0.0214197279219501	0.0164878544721064	0.0104601229714421	0.0157763984248992
PRAC1	1.79881140303251	0.0270742600166856	0.021855070244059	0.0142979525745486	0.0106649858976219	0.00747667758525745	0.0116591758387574	0.00965600563723857	0.0103434097644157
