	Cancer_cells	Stromal_cells	Anti-Inflammatory_macro/mono	Pro-Inflammatory_macro/mono	Other_cells	Bcells	Regulatory_CD4_Tcells	CD4_Tcells	Proliferative_Tcells	NK_cells	CD8_Tcells
TFF3	59.8129709534507	1.22131370447768	0.857193514114604	0.593166739875283	0.521730353702971	0.295009156073054	0.386110166628188	0.352506122501078	0.724756858358745	0.433517593146872	0.319370739862807
KRT18	41.9817110603249	1.33511747588209	0.572260091321181	0.360508656298204	0.340743470842444	0.231721639252926	0.229267733074417	0.257689246650667	0.330185559871674	0.204851779730963	0.250420759977176
KRT8	39.4472541053659	1.59747814116028	0.701059764878792	0.354463295893564	0.366896010109224	0.287697035313	0.257265115842372	0.258235434059643	0.342512150054105	0.283844394198424	0.275173279154981
KRT19	26.6172100065505	0.593726945594944	0.357045854234163	0.24570886457879	0.244614771513799	0.131146583042184	0.173142744224443	0.109725088058804	0.219419709174308	0.136813270264672	0.135407911212478
PHGR1	27.6367357764539	0.469543609725556	0.430774010353003	0.245917388753366	0.23164533480575	0.125295869741757	0.158220317400499	0.146236332799282	0.282030026010684	0.179523990332297	0.159812620400774
AGR2	22.7721915223685	0.480426720031712	0.415264048664223	0.266617306200709	0.199506811776509	0.167531279124544	0.213286410332682	0.17691681554827	0.211236055735783	0.124113265364	0.169096788562728
EPCAM	21.3794209331304	0.399327754154413	0.34793157863583	0.159256428657835	0.166583471870512	0.200894439905906	0.102431931411543	0.107050430092706	0.106884640772147	0.112899010484483	0.124765639607557
CLDN3	16.0587441178487	0.259399220664521	0.203314875471017	0.199147345029532	0.118572527167764	0.062727151082286	0.0883255124373589	0.108539386625792	0.150117674393153	0.0997936430254612	0.0793139432791184
TSPAN8	17.7188168629354	0.300455158219077	0.249597725553851	0.172677631884084	0.138703296081964	0.113413556351584	0.0869958599816711	0.090420670294067	0.196273809772391	0.106868666897676	0.1045137551715
CLDN4	17.5497140317052	0.523480200373545	0.427622704859368	0.273069753334562	0.19587045014622	0.142952967549882	0.147026054335907	0.16137620019144	0.264288990194812	0.140057132536854	0.177810342099953
FXYD3	21.9603067617211	0.655693649023516	0.419649125166336	0.265491836867482	0.218786279349392	0.162199613934229	0.148097868570184	0.190556704251153	0.32080831555547	0.156619474466232	0.159409261359996
LGALS4	18.2364049698023	0.275844689781681	0.271042219701909	0.153466315841168	0.13941592978879	0.143267807889845	0.131940786103421	0.105643951860398	0.174050356980843	0.119208716706344	0.0993230480422461
LCN2	14.735891678621	0.344997539183151	0.232219226012562	0.106979308812474	0.117908191897219	0.0418164381834933	0.0809727085861454	0.0957214522711635	0.128626150599886	0.0553434688220612	0.0575725218045505
