	Cancer_cells	Stromal_cells	Anti-Inflammatory_macro/mono	Pro-Inflammatory_macro/mono	Other_cells	Bcells	Regulatory_CD4_Tcells	CD4_Tcells	Proliferative_Tcells	NK_cells	CD8_Tcells
TFF3	58.2305134006359	1.28511089337185	0.938621113431336	0.746524319379867	0.514353912155486	0.317340041591123	0.38633991647542	0.359844813490228	0.757177949176627	0.449114625807677	0.316460598882535
KRT18	38.9764456203658	1.26034258203716	0.601302660911079	0.385125818145303	0.386334795731453	0.243122878104648	0.254128197743404	0.276105598212699	0.33805430901627	0.215415137024447	0.254801412949768
KRT8	37.7059000571043	1.51874669438494	0.780898673830734	0.40567428307862	0.402673866222476	0.278196709140953	0.270327530716573	0.269599505900385	0.358878884348034	0.294917082693361	0.282669836212375
KRT19	24.6659537429084	0.591015351860182	0.377127814515585	0.291007114779806	0.276692826749155	0.136260837388554	0.187765127487405	0.113290080471583	0.227071560575664	0.139270240309642	0.139060670103017
PHGR1	28.2192746831884	0.482130810308671	0.498599253610964	0.278402090217836	0.25924825161508	0.133287146698321	0.176231837726391	0.145593161219706	0.326271462847445	0.188049971014305	0.159569419720308
AGR2	21.3524220799005	0.454783520807987	0.450519551488846	0.310846287237717	0.200363541751683	0.17463574122057	0.226860112435692	0.179333170018518	0.2192277733534	0.126552113469212	0.166508904416023
EPCAM	19.9614008213452	0.39588638380646	0.351108166049502	0.192853425348192	0.184894235696081	0.201875996407505	0.108561181827286	0.113556966385257	0.127230152310786	0.125912086678781	0.133816958878035
CLDN3	16.1688111909159	0.286392638298495	0.217799494029183	0.255471373023303	0.111697802448191	0.0678607828638305	0.0923578262551141	0.108609957440638	0.179500587229721	0.104824119969348	0.0791114153868713
TSPAN8	17.2037728748906	0.296481149143729	0.28482523956905	0.235893083149787	0.142069572449752	0.119867972750424	0.08299192600234	0.0947712114729651	0.205301551291981	0.105490746210866	0.106462079821792
CLDN4	17.5810485654645	0.514774595825414	0.487053263608514	0.283890278254054	0.223867806088416	0.13900252715207	0.156056864974683	0.175479804259809	0.270307363957181	0.143990028556668	0.186371617125219
FXYD3	20.6851368914434	0.683981461175818	0.458359408962534	0.284564660500794	0.251482524022103	0.163213938744637	0.14702881414075	0.198078576027658	0.37121212035229	0.162672553285841	0.164320446201849
LGALS4	17.6622774407915	0.29173200951693	0.323494732900318	0.163450619154181	0.157568620247173	0.137343060266704	0.135430100822781	0.114798953082536	0.188012747031369	0.1243817159002	0.107033351063908
LCN2	14.69727690342	0.379103727527626	0.259317341964108	0.103330624177069	0.137394492048436	0.0457638380093298	0.0852595552831277	0.0979450061859166	0.121604461792484	0.0591390484146235	0.0607349116467189
S100P	10.6485949021084	0.306404552442504	0.236201061630509	0.234050854275409	0.147716431029635	0.0714657762562939	0.116429034692607	0.0742199561893819	0.147330224137648	0.08325074143724	0.133201740501606
ELF3	11.2701005097911	0.255419778482453	0.256478968754385	0.180443468383984	0.127804677039198	0.0609335261060495	0.111689052447976	0.069942597376813	0.0946548797603524	0.0883627823056755	0.0686997120572977
