"","NIC3","NIC4","NIC5","NIC6","NIC7","S52","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC12nova","NIC22nova"
"Cancer cells",4339.66666666666,6239.33333333332,9180,5793,6740.66666666666,6857.33333333333,7147,7245.66666666667,5607.33333333333,8821.99999999999,7010.99999999999,4112.33333333333,5886,6184.5,2446,8202.66666666666,2036.33333333333,3672.66666666667,4343,3385.33333333333,4179,7147,8202.66666666666
"Stromal cells",1234.33333333333,1125.66666666667,705.5,1489,1661.66666666667,560.333333333334,1127.66666666667,705.333333333333,3098.33333333333,474.666666666667,1148.66666666667,1425,693.5,844.5,1430,309,547.000000000001,1161,2396.66666666667,2270.33333333333,1764.33333333333,1127.66666666667,309
"Bcells",9,6.66666666666667,18.5,0,7,0.666666666666667,23.6666666666667,48.3333333333333,13.6666666666667,0.333333333333333,19.3333333333333,93,0,0.5,6,30,2,47,0.333333333333333,104.666666666667,2.66666666666667,23.6666666666667,30
"CD4 Tcells",329,227.666666666667,216.5,244.5,325.333333333334,303.666666666667,457,596.333333333333,471.333333333333,62.6666666666666,745,241.333333333333,97.5,132.5,179,288.666666666667,217,702.333333333334,105.666666666667,665.333333333333,413.666666666666,457,288.666666666667
"Regulatory CD4 Tcells",108.666666666667,69.3333333333333,60.5,52.5,119.333333333333,41.6666666666667,88.3333333333333,128.333333333333,216.666666666666,10.3333333333333,77.3333333333333,49.6666666666667,11,22,43,73,23,122.666666666667,11.6666666666667,150.666666666667,71.6666666666667,88.3333333333333,73
"CD8 Tcells",74.6666666666666,34.3333333333333,31.5,49.5,27.6666666666667,388.333333333334,399.666666666667,797,54.9999999999999,77,74.6666666666666,41,15,24.5,18,293,61,98,9.66666666666667,162.666666666667,22.3333333333334,399.666666666667,293
"Proliferative Tcells",3,4.66666666666667,9.5,1,13,11,25.6666666666667,76.3333333333333,9.33333333333333,0.333333333333333,22.3333333333333,2.33333333333333,1,3,8,4.33333333333333,2,18.3333333333333,6,15,5.33333333333333,25.6666666666667,4.33333333333333
"NK cells",2.66666666666667,4.66666666666667,12.5,6,11,0,1.33333333333333,27,20.3333333333333,1,12,49,1,62,0,5,0,4.33333333333333,0,16.6666666666667,12.6666666666667,1.33333333333333,5
"Anti-Inflammatory macro/mono",130,90.6666666666666,83.5,75.5,112.333333333333,139,116.333333333333,156.333333333333,155.666666666666,50.3333333333333,129.333333333333,89.6666666666666,61.5,87,101,139,62,143.666666666666,72.3333333333333,240,34.6666666666666,116.333333333333,139
"Pro-Inflammatory macro/mono",503.333333333333,296,219.5,280,381.666666666666,443,282.333333333333,407.333333333334,347.666666666666,107.666666666667,290.333333333334,287.333333333333,100,214,232,188,242.333333333334,550.666666666666,420,344,397.666666666666,282.333333333333,188
"Other cells",1019.66666666667,757.666666666667,236.5,455.5,624,543.666666666666,935.666666666667,2229.66666666667,738.333333333334,220,478,755.666666666666,126,149.5,835,737.333333333334,311,1462,709.666666666666,1128,354.666666666667,935.666666666667,737.333333333334
