"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"A1BG",6,11,2,24,0,0,12,9,2,5,1,6,0,5,9,2,10,0,0,0,0,0,0
"A1CF",403,853,920,985,1254,1266,4392,368,5211,1720,2762,2414,31,102,1276,1420,1420,25,2315,3562,1932,1672,263
"A2M",4666,7465,23038,13481,5984,15495,33601,15225,6760,19297,11807,7435,4746,12560,16056,9386,23019,1026,15037,11031,7428,9613,4686
"A2ML1",7,1,0,1,0,1,7,0,0,1,0,0,0,1,0,3,0,3,0,0,0,0,25
"A3GALT2",0,2,0,0,0,10,5,6,16,2,2,8,2,3,0,1,8,0,7,0,0,0,0
"A4GALT",158,347,463,465,26,203,139,313,19,210,100,61,121,237,156,173,237,875,403,182,79,145,109
"A4GNT",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,35,0,20,0,0
"AAAS",942,1637,1969,580,1425,944,1723,1233,1212,556,932,869,568,761,512,576,785,874,2439,1593,1788,1815,990
"AACS",1469,3277,1377,2292,2012,1208,2525,2298,2400,769,1196,1631,1039,1400,1047,887,943,540,1934,1722,2245,2960,503
"AADAC",1,12,46,2,0,12,115,0,68,47,4,6,49,0,0,26,5,0,35,405,0,21,117
"AADACL2",1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAT",45,179,687,167,279,82,480,222,362,82,203,293,191,97,100,150,200,46,660,384,400,463,225
"AAGAB",1773,2329,2338,1093,1110,961,3212,764,3034,1786,1749,882,1500,1349,1222,1038,1184,154,2607,2225,2424,3697,1363
"AAK1",1302,3637,3341,2733,2618,2596,2938,2125,2211,1440,1900,2949,1066,1503,1323,1921,2522,796,6371,2009,1278,3871,602
"AAMDC",220,143,201,31,57,64,477,109,267,165,173,52,172,260,119,227,254,0,459,303,301,584,239
"AAMP",3781,3261,4677,1367,2241,2087,6261,1911,4319,2519,3352,1779,1673,2769,2010,2540,2327,620,3718,5473,4531,7921,2919
"AANAT",2,0,10,0,0,0,0,5,2,0,0,6,0,1,0,0,0,1,0,0,0,0,0
