sample	CMS	phenotype	images.per.sample	cells.count.sum	cells.count.median	cells.count.mean	group	category
NIC03	CMS4	Apoptotic_cells	3	68	25	22.6666666666667	Undefined	Undefined
NIC04	CMS4	Apoptotic_cells	3	821	137	273.666666666667	Undefined	Undefined
NIC05	CMS2	Apoptotic_cells	2	69	34.5	34.5	Undefined	Undefined
NIC06	CMS3	Apoptotic_cells	2	56	28	28	Undefined	Undefined
NIC07	CMS2	Apoptotic_cells	3	59	14	19.6666666666667	Undefined	Undefined
S52	CMS1	Apoptotic_cells	3	12	3	4	Undefined	Undefined
NIC12	CMS1	Apoptotic_cells	3	44	13	14.6666666666667	Undefined	Undefined
NIC13	CMS1	Apoptotic_cells	3	217	69	72.3333333333333	Undefined	Undefined
NIC15	CMS4	Apoptotic_cells	3	259	112	86.3333333333333	Undefined	Undefined
NIC16	CMS2	Apoptotic_cells	3	109	42	36.3333333333333	Undefined	Undefined
NIC17	CMS2	Apoptotic_cells	3	88	28	29.3333333333333	Undefined	Undefined
NIC18	CMS3	Apoptotic_cells	3	51	16	17	Undefined	Undefined
NIC19	CMS3	Apoptotic_cells	2	40	20	20	Undefined	Undefined
NIC20	CMS2	Apoptotic_cells	2	19	9.5	9.5	Undefined	Undefined
NIC21	CMS2	Apoptotic_cells	1	2	2	2	Undefined	Undefined
NIC22	CMS2	Apoptotic_cells	3	413	179	137.666666666667	Undefined	Undefined
NIC23	CMS3	Apoptotic_cells	3	110	34	36.6666666666667	Undefined	Undefined
NIC24	CMS4	Apoptotic_cells	3	71	21	23.6666666666667	Undefined	Undefined
NIC25	CMS4	Apoptotic_cells	3	109	41	36.3333333333333	Undefined	Undefined
NIC27	CMS2	Apoptotic_cells	3	152	67	50.6666666666667	Undefined	Undefined
NIC29	CMS4	Apoptotic_cells	3	108	31	36	Undefined	Undefined
NIC03	CMS4	Apoptotic_tum	3	69	23	23	Tumour_cells	Apoptotic_tumor_cells
NIC04	CMS4	Apoptotic_tum	3	279	63	93	Tumour_cells	Apoptotic_tumor_cells
NIC05	CMS2	Apoptotic_tum	2	79	39.5	39.5	Tumour_cells	Apoptotic_tumor_cells
NIC06	CMS3	Apoptotic_tum	2	30	15	15	Tumour_cells	Apoptotic_tumor_cells
NIC07	CMS2	Apoptotic_tum	3	147	49	49	Tumour_cells	Apoptotic_tumor_cells
S52	CMS1	Apoptotic_tum	3	1	0	0.333333333333333	Tumour_cells	Apoptotic_tumor_cells
NIC12	CMS1	Apoptotic_tum	3	27	11	9	Tumour_cells	Apoptotic_tumor_cells
NIC13	CMS1	Apoptotic_tum	3	40	2	13.3333333333333	Tumour_cells	Apoptotic_tumor_cells
NIC15	CMS4	Apoptotic_tum	3	152	48	50.6666666666667	Tumour_cells	Apoptotic_tumor_cells
NIC16	CMS2	Apoptotic_tum	3	155	48	51.6666666666667	Tumour_cells	Apoptotic_tumor_cells
NIC17	CMS2	Apoptotic_tum	3	50	18	16.6666666666667	Tumour_cells	Apoptotic_tumor_cells
NIC18	CMS3	Apoptotic_tum	3	105	11	35	Tumour_cells	Apoptotic_tumor_cells
NIC19	CMS3	Apoptotic_tum	2	28	14	14	Tumour_cells	Apoptotic_tumor_cells
NIC20	CMS2	Apoptotic_tum	2	41	20.5	20.5	Tumour_cells	Apoptotic_tumor_cells
NIC21	CMS2	Apoptotic_tum	1	11	11	11	Tumour_cells	Apoptotic_tumor_cells
NIC22	CMS2	Apoptotic_tum	3	87	27	29	Tumour_cells	Apoptotic_tumor_cells
NIC23	CMS3	Apoptotic_tum	3	81	36	27	Tumour_cells	Apoptotic_tumor_cells
NIC24	CMS4	Apoptotic_tum	3	29	9	9.66666666666667	Tumour_cells	Apoptotic_tumor_cells
NIC25	CMS4	Apoptotic_tum	3	79	34	26.3333333333333	Tumour_cells	Apoptotic_tumor_cells
NIC27	CMS2	Apoptotic_tum	3	61	27	20.3333333333333	Tumour_cells	Apoptotic_tumor_cells
NIC29	CMS4	Apoptotic_tum	3	41	17	13.6666666666667	Tumour_cells	Apoptotic_tumor_cells
NIC03	CMS4	Bcat+_tum	3	1775	614	591.666666666667	Tumour_cells	Bcat+_tumour_cells
NIC04	CMS4	Bcat+_tum	3	3796	1082	1265.33333333333	Tumour_cells	Bcat+_tumour_cells
NIC05	CMS2	Bcat+_tum	2	2591	1295.5	1295.5	Tumour_cells	Bcat+_tumour_cells
NIC06	CMS3	Bcat+_tum	2	1737	868.5	868.5	Tumour_cells	Bcat+_tumour_cells
NIC07	CMS2	Bcat+_tum	3	4311	1417	1437	Tumour_cells	Bcat+_tumour_cells
S52	CMS1	Bcat+_tum	3	240	24	80	Tumour_cells	Bcat+_tumour_cells
NIC12	CMS1	Bcat+_tum	3	1632	227	544	Tumour_cells	Bcat+_tumour_cells
NIC13	CMS1	Bcat+_tum	3	350	96	116.666666666667	Tumour_cells	Bcat+_tumour_cells
NIC15	CMS4	Bcat+_tum	3	4072	1365	1357.33333333333	Tumour_cells	Bcat+_tumour_cells
NIC16	CMS2	Bcat+_tum	3	6337	2037	2112.33333333333	Tumour_cells	Bcat+_tumour_cells
NIC17	CMS2	Bcat+_tum	3	6528	2381	2176	Tumour_cells	Bcat+_tumour_cells
NIC18	CMS3	Bcat+_tum	3	1038	224	346	Tumour_cells	Bcat+_tumour_cells
NIC19	CMS3	Bcat+_tum	2	1334	667	667	Tumour_cells	Bcat+_tumour_cells
NIC20	CMS2	Bcat+_tum	2	2368	1184	1184	Tumour_cells	Bcat+_tumour_cells
NIC21	CMS2	Bcat+_tum	1	197	197	197	Tumour_cells	Bcat+_tumour_cells
NIC22	CMS2	Bcat+_tum	3	4127	1559	1375.66666666667	Tumour_cells	Bcat+_tumour_cells
NIC23	CMS3	Bcat+_tum	3	639	304	213	Tumour_cells	Bcat+_tumour_cells
NIC24	CMS4	Bcat+_tum	3	1971	731	657	Tumour_cells	Bcat+_tumour_cells
NIC25	CMS4	Bcat+_tum	3	3159	1011	1053	Tumour_cells	Bcat+_tumour_cells
NIC27	CMS2	Bcat+_tum	3	891	143	297	Tumour_cells	Bcat+_tumour_cells
NIC29	CMS4	Bcat+_tum	3	1316	441	438.666666666667	Tumour_cells	Bcat+_tumour_cells
NIC03	CMS4	Bcells	3	27	11	9	Bcells	Bcells
NIC04	CMS4	Bcells	3	20	6	6.66666666666667	Bcells	Bcells
NIC05	CMS2	Bcells	2	37	18.5	18.5	Bcells	Bcells
NIC06	CMS3	Bcells	2	0	0	0	Bcells	Bcells
NIC07	CMS2	Bcells	3	21	8	7	Bcells	Bcells
S52	CMS1	Bcells	3	2	1	0.666666666666667	Bcells	Bcells
NIC12	CMS1	Bcells	3	71	8	23.6666666666667	Bcells	Bcells
NIC13	CMS1	Bcells	3	145	5	48.3333333333333	Bcells	Bcells
NIC15	CMS4	Bcells	3	41	7	13.6666666666667	Bcells	Bcells
NIC16	CMS2	Bcells	3	1	0	0.333333333333333	Bcells	Bcells
NIC17	CMS2	Bcells	3	58	19	19.3333333333333	Bcells	Bcells
NIC18	CMS3	Bcells	3	279	72	93	Bcells	Bcells
NIC19	CMS3	Bcells	2	0	0	0	Bcells	Bcells
NIC20	CMS2	Bcells	2	1	0.5	0.5	Bcells	Bcells
NIC21	CMS2	Bcells	1	6	6	6	Bcells	Bcells
NIC22	CMS2	Bcells	3	90	17	30	Bcells	Bcells
NIC23	CMS3	Bcells	3	6	0	2	Bcells	Bcells
NIC24	CMS4	Bcells	3	141	50	47	Bcells	Bcells
NIC25	CMS4	Bcells	3	1	0	0.333333333333333	Bcells	Bcells
NIC27	CMS2	Bcells	3	314	133	104.666666666667	Bcells	Bcells
NIC29	CMS4	Bcells	3	8	1	2.66666666666667	Bcells	Bcells
NIC03	CMS4	CD11c+_macrophages	3	1109	318	369.666666666667	Macrophages	M1-like_macrophages
NIC04	CMS4	CD11c+_macrophages	3	147	50	49	Macrophages	M1-like_macrophages
NIC05	CMS2	CD11c+_macrophages	2	38	19	19	Macrophages	M1-like_macrophages
NIC06	CMS3	CD11c+_macrophages	2	178	89	89	Macrophages	M1-like_macrophages
NIC07	CMS2	CD11c+_macrophages	3	290	112	96.6666666666667	Macrophages	M1-like_macrophages
S52	CMS1	CD11c+_macrophages	3	361	122	120.333333333333	Macrophages	M1-like_macrophages
NIC12	CMS1	CD11c+_macrophages	3	362	122	120.666666666667	Macrophages	M1-like_macrophages
NIC13	CMS1	CD11c+_macrophages	3	191	69	63.6666666666667	Macrophages	M1-like_macrophages
NIC15	CMS4	CD11c+_macrophages	3	362	142	120.666666666667	Macrophages	M1-like_macrophages
NIC16	CMS2	CD11c+_macrophages	3	33	4	11	Macrophages	M1-like_macrophages
NIC17	CMS2	CD11c+_macrophages	3	300	109	100	Macrophages	M1-like_macrophages
NIC18	CMS3	CD11c+_macrophages	3	233	66	77.6666666666667	Macrophages	M1-like_macrophages
NIC19	CMS3	CD11c+_macrophages	2	55	27.5	27.5	Macrophages	M1-like_macrophages
NIC20	CMS2	CD11c+_macrophages	2	59	29.5	29.5	Macrophages	M1-like_macrophages
NIC21	CMS2	CD11c+_macrophages	1	43	43	43	Macrophages	M1-like_macrophages
NIC22	CMS2	CD11c+_macrophages	3	262	54	87.3333333333333	Macrophages	M1-like_macrophages
