"","model","gene.markers","mode","n.iterations","n.genes","weights"
"A1B1C1D1E1F1","nusvr","YES","fixed",100,"200","c"
"A2B1C1D1E1F1","nnls","YES","fixed",100,"200","c"
"A3B1C1D1E1F1","linear","YES","fixed",100,"200","c"
"A1B2C1D1E1F1","nusvr","NO","fixed",100,"200","c"
"A2B2C1D1E1F1","nnls","NO","fixed",100,"200","c"
"A3B2C1D1E1F1","linear","NO","fixed",100,"200","c"
"A1B1C1D2E1F1","nusvr","YES","fixed",500,"200","c"
"A2B1C1D2E1F1","nnls","YES","fixed",500,"200","c"
"A3B1C1D2E1F1","linear","YES","fixed",500,"200","c"
"A1B2C1D2E1F1","nusvr","NO","fixed",500,"200","c"
"A2B2C1D2E1F1","nnls","NO","fixed",500,"200","c"
"A3B2C1D2E1F1","linear","NO","fixed",500,"200","c"
"A1B1C1D3E1F1","nusvr","YES","fixed",1000,"200","c"
"A2B1C1D3E1F1","nnls","YES","fixed",1000,"200","c"
"A3B1C1D3E1F1","linear","YES","fixed",1000,"200","c"
"A1B2C1D3E1F1","nusvr","NO","fixed",1000,"200","c"
"A2B2C1D3E1F1","nnls","NO","fixed",1000,"200","c"
"A3B2C1D3E1F1","linear","NO","fixed",1000,"200","c"
"A1B1C1D1E2F1","nusvr","YES","fixed",100,"400","c"
"A2B1C1D1E2F1","nnls","YES","fixed",100,"400","c"
"A3B1C1D1E2F1","linear","YES","fixed",100,"400","c"
"A1B2C1D1E2F1","nusvr","NO","fixed",100,"400","c"
"A2B2C1D1E2F1","nnls","NO","fixed",100,"400","c"
"A3B2C1D1E2F1","linear","NO","fixed",100,"400","c"
"A1B1C1D2E2F1","nusvr","YES","fixed",500,"400","c"
"A2B1C1D2E2F1","nnls","YES","fixed",500,"400","c"
"A3B1C1D2E2F1","linear","YES","fixed",500,"400","c"
"A1B2C1D2E2F1","nusvr","NO","fixed",500,"400","c"
"A2B2C1D2E2F1","nnls","NO","fixed",500,"400","c"
"A3B2C1D2E2F1","linear","NO","fixed",500,"400","c"
"A1B1C1D3E2F1","nusvr","YES","fixed",1000,"400","c"
"A2B1C1D3E2F1","nnls","YES","fixed",1000,"400","c"
"A3B1C1D3E2F1","linear","YES","fixed",1000,"400","c"
"A1B2C1D3E2F1","nusvr","NO","fixed",1000,"400","c"
"A2B2C1D3E2F1","nnls","NO","fixed",1000,"400","c"
"A3B2C1D3E2F1","linear","NO","fixed",1000,"400","c"
"A1B1C1D1E3F1","nusvr","YES","fixed",100,"all","c"
"A2B1C1D1E3F1","nnls","YES","fixed",100,"all","c"
"A3B1C1D1E3F1","linear","YES","fixed",100,"all","c"
"A1B2C1D1E3F1","nusvr","NO","fixed",100,"all","c"
"A2B2C1D1E3F1","nnls","NO","fixed",100,"all","c"
"A3B2C1D1E3F1","linear","NO","fixed",100,"all","c"
"A1B1C1D2E3F1","nusvr","YES","fixed",500,"all","c"
"A2B1C1D2E3F1","nnls","YES","fixed",500,"all","c"
"A3B1C1D2E3F1","linear","YES","fixed",500,"all","c"
"A1B2C1D2E3F1","nusvr","NO","fixed",500,"all","c"
"A2B2C1D2E3F1","nnls","NO","fixed",500,"all","c"
"A3B2C1D2E3F1","linear","NO","fixed",500,"all","c"
"A1B1C1D3E3F1","nusvr","YES","fixed",1000,"all","c"
"A2B1C1D3E3F1","nnls","YES","fixed",1000,"all","c"
"A3B1C1D3E3F1","linear","YES","fixed",1000,"all","c"
"A1B2C1D3E3F1","nusvr","NO","fixed",1000,"all","c"
"A2B2C1D3E3F1","nnls","NO","fixed",1000,"all","c"
"A3B2C1D3E3F1","linear","NO","fixed",1000,"all","c"
"A1B1C1D1E1F2","nusvr","YES","fixed",100,"200","cd"
"A2B1C1D1E1F2","nnls","YES","fixed",100,"200","cd"
"A3B1C1D1E1F2","linear","YES","fixed",100,"200","cd"
"A1B2C1D1E1F2","nusvr","NO","fixed",100,"200","cd"
"A2B2C1D1E1F2","nnls","NO","fixed",100,"200","cd"
"A3B2C1D1E1F2","linear","NO","fixed",100,"200","cd"
"A1B1C1D2E1F2","nusvr","YES","fixed",500,"200","cd"
"A2B1C1D2E1F2","nnls","YES","fixed",500,"200","cd"
"A3B1C1D2E1F2","linear","YES","fixed",500,"200","cd"
"A1B2C1D2E1F2","nusvr","NO","fixed",500,"200","cd"
"A2B2C1D2E1F2","nnls","NO","fixed",500,"200","cd"
"A3B2C1D2E1F2","linear","NO","fixed",500,"200","cd"
"A1B1C1D3E1F2","nusvr","YES","fixed",1000,"200","cd"
"A2B1C1D3E1F2","nnls","YES","fixed",1000,"200","cd"
"A3B1C1D3E1F2","linear","YES","fixed",1000,"200","cd"
"A1B2C1D3E1F2","nusvr","NO","fixed",1000,"200","cd"
"A2B2C1D3E1F2","nnls","NO","fixed",1000,"200","cd"
"A3B2C1D3E1F2","linear","NO","fixed",1000,"200","cd"
"A1B1C1D1E2F2","nusvr","YES","fixed",100,"400","cd"
"A2B1C1D1E2F2","nnls","YES","fixed",100,"400","cd"
"A3B1C1D1E2F2","linear","YES","fixed",100,"400","cd"
"A1B2C1D1E2F2","nusvr","NO","fixed",100,"400","cd"
"A2B2C1D1E2F2","nnls","NO","fixed",100,"400","cd"
"A3B2C1D1E2F2","linear","NO","fixed",100,"400","cd"
"A1B1C1D2E2F2","nusvr","YES","fixed",500,"400","cd"
"A2B1C1D2E2F2","nnls","YES","fixed",500,"400","cd"
"A3B1C1D2E2F2","linear","YES","fixed",500,"400","cd"
"A1B2C1D2E2F2","nusvr","NO","fixed",500,"400","cd"
"A2B2C1D2E2F2","nnls","NO","fixed",500,"400","cd"
"A3B2C1D2E2F2","linear","NO","fixed",500,"400","cd"
"A1B1C1D3E2F2","nusvr","YES","fixed",1000,"400","cd"
"A2B1C1D3E2F2","nnls","YES","fixed",1000,"400","cd"
"A3B1C1D3E2F2","linear","YES","fixed",1000,"400","cd"
"A1B2C1D3E2F2","nusvr","NO","fixed",1000,"400","cd"
"A2B2C1D3E2F2","nnls","NO","fixed",1000,"400","cd"
"A3B2C1D3E2F2","linear","NO","fixed",1000,"400","cd"
"A1B1C1D1E3F2","nusvr","YES","fixed",100,"all","cd"
"A2B1C1D1E3F2","nnls","YES","fixed",100,"all","cd"
"A3B1C1D1E3F2","linear","YES","fixed",100,"all","cd"
"A1B2C1D1E3F2","nusvr","NO","fixed",100,"all","cd"
"A2B2C1D1E3F2","nnls","NO","fixed",100,"all","cd"
"A3B2C1D1E3F2","linear","NO","fixed",100,"all","cd"
"A1B1C1D2E3F2","nusvr","YES","fixed",500,"all","cd"
"A2B1C1D2E3F2","nnls","YES","fixed",500,"all","cd"
"A3B1C1D2E3F2","linear","YES","fixed",500,"all","cd"
"A1B2C1D2E3F2","nusvr","NO","fixed",500,"all","cd"
"A2B2C1D2E3F2","nnls","NO","fixed",500,"all","cd"
"A3B2C1D2E3F2","linear","NO","fixed",500,"all","cd"
"A1B1C1D3E3F2","nusvr","YES","fixed",1000,"all","cd"
"A2B1C1D3E3F2","nnls","YES","fixed",1000,"all","cd"
"A3B1C1D3E3F2","linear","YES","fixed",1000,"all","cd"
