"","n.iterations","center","normalise","wo.method","wo.gene.markers"
"A1B1C1D1E1",100,TRUE,TRUE,"weighted","YES"
"A2B1C1D1E1",500,TRUE,TRUE,"weighted","YES"
"A3B1C1D1E1",1000,TRUE,TRUE,"weighted","YES"
"A1B2C1D1E1",100,FALSE,TRUE,"weighted","YES"
"A2B2C1D1E1",500,FALSE,TRUE,"weighted","YES"
"A3B2C1D1E1",1000,FALSE,TRUE,"weighted","YES"
"A1B1C2D1E1",100,TRUE,FALSE,"weighted","YES"
"A2B1C2D1E1",500,TRUE,FALSE,"weighted","YES"
"A3B1C2D1E1",1000,TRUE,FALSE,"weighted","YES"
"A1B2C2D1E1",100,FALSE,FALSE,"weighted","YES"
"A2B2C2D1E1",500,FALSE,FALSE,"weighted","YES"
"A3B2C2D1E1",1000,FALSE,FALSE,"weighted","YES"
"A1B1C1D2E1",100,TRUE,TRUE,"all genes","YES"
"A2B1C1D2E1",500,TRUE,TRUE,"all genes","YES"
"A3B1C1D2E1",1000,TRUE,TRUE,"all genes","YES"
"A1B2C1D2E1",100,FALSE,TRUE,"all genes","YES"
"A2B2C1D2E1",500,FALSE,TRUE,"all genes","YES"
"A3B2C1D2E1",1000,FALSE,TRUE,"all genes","YES"
"A1B1C2D2E1",100,TRUE,FALSE,"all genes","YES"
"A2B1C2D2E1",500,TRUE,FALSE,"all genes","YES"
"A3B1C2D2E1",1000,TRUE,FALSE,"all genes","YES"
"A1B2C2D2E1",100,FALSE,FALSE,"all genes","YES"
"A2B2C2D2E1",500,FALSE,FALSE,"all genes","YES"
"A3B2C2D2E1",1000,FALSE,FALSE,"all genes","YES"
"A1B1C1D1E2",100,TRUE,TRUE,"weighted","NO"
"A2B1C1D1E2",500,TRUE,TRUE,"weighted","NO"
"A3B1C1D1E2",1000,TRUE,TRUE,"weighted","NO"
"A1B2C1D1E2",100,FALSE,TRUE,"weighted","NO"
"A2B2C1D1E2",500,FALSE,TRUE,"weighted","NO"
"A3B2C1D1E2",1000,FALSE,TRUE,"weighted","NO"
"A1B1C2D1E2",100,TRUE,FALSE,"weighted","NO"
"A2B1C2D1E2",500,TRUE,FALSE,"weighted","NO"
"A3B1C2D1E2",1000,TRUE,FALSE,"weighted","NO"
"A1B2C2D1E2",100,FALSE,FALSE,"weighted","NO"
"A2B2C2D1E2",500,FALSE,FALSE,"weighted","NO"
"A3B2C2D1E2",1000,FALSE,FALSE,"weighted","NO"
"A1B1C1D2E2",100,TRUE,TRUE,"all genes","NO"
"A2B1C1D2E2",500,TRUE,TRUE,"all genes","NO"
"A3B1C1D2E2",1000,TRUE,TRUE,"all genes","NO"
"A1B2C1D2E2",100,FALSE,TRUE,"all genes","NO"
"A2B2C1D2E2",500,FALSE,TRUE,"all genes","NO"
"A3B2C1D2E2",1000,FALSE,TRUE,"all genes","NO"
"A1B1C2D2E2",100,TRUE,FALSE,"all genes","NO"
"A2B1C2D2E2",500,TRUE,FALSE,"all genes","NO"
"A3B1C2D2E2",1000,TRUE,FALSE,"all genes","NO"
"A1B2C2D2E2",100,FALSE,FALSE,"all genes","NO"
"A2B2C2D2E2",500,FALSE,FALSE,"all genes","NO"
"A3B2C2D2E2",1000,FALSE,FALSE,"all genes","NO"
