"","corrected.Before_A1B1","corrected.Before_A1B2","corrected.Before_A1B3","corrected.Before_A1B4","corrected.Before_A1B5","corrected.Before_A2B1","corrected.Before_A2B2","corrected.Before_A2B3","corrected.Before_A2B4","corrected.Before_A2B5","uncorrected_A1B1","corrected.After_A1B1","uncorrected_A1B2","corrected.After_A1B2","uncorrected_A1B3","corrected.After_A1B3","uncorrected_A1B4","corrected.After_A1B4","uncorrected_A1B5","corrected.After_A1B5","uncorrected_A2B1","corrected.After_A2B1","uncorrected_A2B2","corrected.After_A2B2","uncorrected_A2B3","corrected.After_A2B3","uncorrected_A2B4","corrected.After_A2B4","uncorrected_A2B5","corrected.After_A2B5"
"S52",0.240436176910875,0.240436176910875,0.240436176910875,0.240436176910875,0.240436176910875,0.231895643450175,0.231895643450175,0.231895643450175,0.231895643450175,0.231895643450175,0.206344996857413,0.243131346722774,0.206344996857413,0.243131346722774,0.206344996857413,0.243131346722774,0.206344996857413,0.243131346722774,0.206344996857413,0.243131346722774,0.203654498704193,0.240459379481123,0.203654498704193,0.240459379481123,0.203654498704193,0.240459379481123,0.203654498704193,0.240459379481123,0.203654498704193,0.240459379481123
"NIC4",0.23839048244627,0.23839048244627,0.23839048244627,0.23839048244627,0.23839048244627,0.245073648171826,0.245073648171826,0.245073648171826,0.245073648171826,0.245073648171826,0.201332273702235,0.235650853434615,0.201332273702235,0.235650853434615,0.201332273702235,0.235650853434615,0.201332273702235,0.235650853434615,0.201332273702235,0.235650853434615,0.17927593208425,0.241225814076222,0.17927593208425,0.241225814076222,0.17927593208425,0.241225814076222,0.17927593208425,0.241225814076222,0.17927593208425,0.241225814076222
"NIC23",0.228362770213793,0.228362770213793,0.228362770213793,0.228362770213793,0.228362770213793,0.227180662855629,0.227180662855629,0.227180662855629,0.227180662855629,0.227180662855629,0.228082545136607,0.264209249639723,0.228082545136607,0.264209249639723,0.228082545136607,0.264209249639723,0.228082545136607,0.264209249639723,0.228082545136607,0.264209249639723,0.225486471585906,0.257521116251314,0.225486471585906,0.257521116251314,0.225486471585906,0.257521116251314,0.225486471585906,0.257521116251314,0.225486471585906,0.257521116251314
"NIC24",0.198601549493504,0.198601549493504,0.198601549493504,0.198601549493504,0.198601549493504,0.176811080377781,0.176811080377781,0.176811080377781,0.176811080377781,0.176811080377781,0.181150249155294,0.18607397629873,0.181150249155294,0.18607397629873,0.181150249155294,0.18607397629873,0.181150249155294,0.18607397629873,0.181150249155294,0.18607397629873,0.173069007319409,0.177114582219833,0.173069007319409,0.177114582219833,0.173069007319409,0.177114582219833,0.173069007319409,0.177114582219833,0.173069007319409,0.177114582219833
"NIC25",0.199219292780815,0.199219292780815,0.199219292780815,0.199219292780815,0.199219292780815,0.192046904729939,0.192046904729939,0.192046904729939,0.192046904729939,0.192046904729939,0.220488270100382,0.356163676222386,0.220488270100382,0.356163676222386,0.220488270100382,0.356163676222386,0.220488270100382,0.356163676222386,0.220488270100382,0.356163676222386,0.215558814776345,0.304369287143401,0.215558814776345,0.304369287143401,0.215558814776345,0.304369287143401,0.215558814776345,0.304369287143401,0.215558814776345,0.304369287143401
"NIC12nova",0.245917813733911,0.245917813733911,0.245917813733911,0.245917813733911,0.245917813733911,0.246120553100138,0.246120553100138,0.246120553100138,0.246120553100138,0.246120553100138,0.249177432260812,0.342394493439784,0.249177432260812,0.342394493439784,0.249177432260812,0.342394493439784,0.249177432260812,0.342394493439784,0.249177432260812,0.342394493439784,0.244207972563223,0.314197593619231,0.244207972563223,0.314197593619231,0.244207972563223,0.314197593619231,0.244207972563223,0.314197593619231,0.244207972563223,0.314197593619231
"NIC29",0.212891163406767,0.212891163406767,0.212891163406767,0.212891163406767,0.212891163406767,0.213455493740775,0.213455493740775,0.213455493740775,0.213455493740775,0.213455493740775,0.197708851684764,0.239958928309376,0.197708851684764,0.239958928309376,0.197708851684764,0.239958928309376,0.197708851684764,0.239958928309376,0.197708851684764,0.239958928309376,0.199843622099444,0.249642044958711,0.199843622099444,0.249642044958711,0.199843622099444,0.249642044958711,0.199843622099444,0.249642044958711,0.199843622099444,0.249642044958711
"NIC15",0.215443240121283,0.215443240121283,0.215443240121283,0.215443240121283,0.215443240121283,0.206350531910089,0.206350531910089,0.206350531910089,0.206350531910089,0.206350531910089,0.214455544679526,0.173424729296806,0.214455544679526,0.173424729296806,0.214455544679526,0.173424729296806,0.214455544679526,0.173424729296806,0.214455544679526,0.173424729296806,0.20978999705793,0.173856618848045,0.20978999705793,0.173856618848045,0.20978999705793,0.173856618848045,0.20978999705793,0.173856618848045,0.20978999705793,0.173856618848045
"NIC18",0.225270644353101,0.225270644353101,0.225270644353101,0.225270644353101,0.225270644353101,0.200955316371602,0.200955316371602,0.200955316371602,0.200955316371602,0.200955316371602,0.22409962132453,0.270438302696518,0.22409962132453,0.270438302696518,0.22409962132453,0.270438302696518,0.22409962132453,0.270438302696518,0.22409962132453,0.270438302696518,0.217312360841249,0.257270152790664,0.217312360841249,0.257270152790664,0.217312360841249,0.257270152790664,0.217312360841249,0.257270152790664,0.217312360841249,0.257270152790664
"NIC17",0.286025510368799,0.286025510368799,0.286025510368799,0.286025510368799,0.286025510368799,0.286043785148186,0.286043785148186,0.286043785148186,0.286043785148186,0.286043785148186,0.261439694763577,0.271012478417819,0.261439694763577,0.271012478417819,0.261439694763577,0.271012478417819,0.261439694763577,0.271012478417819,0.261439694763577,0.271012478417819,0.25486410982677,0.263509028564781,0.25486410982677,0.263509028564781,0.25486410982677,0.263509028564781,0.25486410982677,0.263509028564781,0.25486410982677,0.263509028564781
