Mixture,Cancer_cells,Stromal_cells,Anti-Inflammatory_macro/mono,Pro-Inflammatory_macro/mono,Other_cells,Bcells,Regulatory_CD4_Tcells,CD4_Tcells,Proliferative_Tcells,NK_cells,CD8_Tcells,P-value,Correlation,RMSE
S52,0.0944021953287417,0.236364263158247,0.149176525517031,0.117304170587604,0,0,0,0,0.402752845408376,0,0,0,0.706184130217507,0.716548524887075
NIC4,0.162734756349371,0.241458826623765,0.039837454431312,0,0,0,0,0,0.555968962595552,0,0,0,0.717067240609944,0.703787239659769
NIC23,0.013574589338968,0.167841599393011,0,0.347449665340889,0,0.000268472025200993,0,0.0636933115540625,0.407172362347868,0,0,0,0.326411529456293,0.945670504187662
NIC24,0.0127859451679546,0.198415797628157,0.0648756213914923,0,0.0763325949678065,0.319406411049538,0,0,0.328183629795051,0,0,0,0.348861132012904,0.937721754288188
NIC25,0.0284036238970398,0.287646263508259,0.194414855956894,0,0,0,0,0.34839270373128,0.141142552906527,0,0,0,0.392556170610021,0.923331653724594
NIC12nova,0.0294298409231852,0.0992027979769719,0.023022694908537,0,0,0.305111678443715,0,0.182296630670288,0.360936357077303,0,0,0,0.218295686053544,0.978210762676437
NIC29,0,0.289465663027429,0.0229362766358772,0,0.103024288287347,0.385653152826375,0,0.136191003282899,0.0627296159400736,0,0,0,0.487673601281451,0.892470609807519
NIC15,0,0.660636073858824,0.0374610423680194,0,0,0,0,0,0.301902883773157,0,0,0,0.347267680379353,0.96789686946256
NIC18,0.0371849905827411,0.0904732727191533,0.022512734417291,0,0.130469391367872,0.409592222862331,0,0,0.309767388050611,0,0,0,0.238776802709174,0.97313172253825
NIC17,0.0216722501023431,0.123308287658056,0.0460046328349784,0,0.694974000759628,0,0,0,0.114040828644994,0,0,0,0.393591326181056,0.927077493653325
NIC3,0.00598438046978194,0.223961409471555,0.0510857633232397,0,0,0,0.565287016654129,0,0.153681430081295,0,0,0,0.211281646240465,0.979874868813084
NIC22,0.0504949900583046,0.217533356736307,0.0301942683701412,0,0.139324072934503,0.148224787680221,0,0,0.414228524220523,0,0,0,0.400305493643611,0.916036629077963
NIC19,0.127434916633098,0.111935788781644,0.0500236213209761,0,0.0905620977787351,0.147515406709788,0,0,0.472528168775759,0,0,0,0.567642580608961,0.823749040550128
NIC20,0.138802929774916,0.0387529862015749,0.0065675510996244,0,0,0.223532313410012,0,0.125037159846306,0.467307059667567,0,0,0,0.601477718947563,0.801246630172277
NIC13,0.0392123278930261,0.171393949458209,0.0543224797151552,0,0.187996909542675,0,0,0,0.547074333390934,0,0,0,0.648058126123442,0.808912697400001
NIC7,0.221573135900146,0.0104194248093425,0.00234104391450248,0,0.0289788265870712,0,0,0,0.736687568788938,0,0,0,0.700465279340387,0.721338757896489
