Mixture,Cancer_cells,Stromal_cells,Anti-Inflammatory_macro/mono,Pro-Inflammatory_macro/mono,Other_cells,Bcells,Regulatory_CD4_Tcells,CD4_Tcells,Proliferative_Tcells,NK_cells,CD8_Tcells,P-value,Correlation,RMSE
S52,0.167431006934557,0.230714723410734,0.0639597709642911,0.115166078292269,0,0,0.237490340286394,0,0.185238080111755,0,0,0,0.702229972470659,0.725269293499403
NIC4,0.270952697385935,0.173826996262177,0.0144576183016847,0,0,0,0.19481275779641,0,0.345949930253793,0,0,0,0.718338862119082,0.736818251039861
NIC23,0.0132698855862703,0.134678534230564,0.000201699568272298,0.118056391398599,0,0,0,0.402323092283999,0.331470396932296,0,0,0,0.288084766239355,0.975491270277306
NIC24,0.00304898197190721,0.172664689462856,0.0477633394666693,0,0.167591094424978,0.16558538873795,0,0.151031378882613,0.292315127053026,0,0,0,0.344299681768983,0.951846695794005
NIC25,0.0222449177726402,0.214783194564537,0.120742776622626,0,0,0,0,0.422658616398485,0.219570494641713,0,0,0,0.379977342054851,0.946918341063102
NIC12nova,0.0376520473282659,0.108712674924548,0.0275282056519027,0,0,0.108947092658534,0,0.423270226578205,0.293889752858544,0,0,0,0.216936154508712,1.01406223717122
NIC29,0,0.377702432564625,0.0273368478753606,0,0.0493205224580737,0.203361659854056,0,0.246236463890477,0.0960420733574077,0,0,0,0.49039583903158,0.876159270767713
NIC15,0,0.683839024335014,0.0313610667288321,0,0,0.0848342828459499,0,0,0.199965626090204,0,0,0,0.365232066073059,1.03428518457233
NIC18,0.0556153826956572,0.0824158084185042,0.0232012605768127,0,0.0552868030258564,0.0804400022531161,0,0.406106232003915,0.296934511026139,0,0,0,0.233550871819339,1.00996911760582
NIC17,0.0308858154990653,0.118259161179831,0.0303691970044453,0,0.496971167098763,0,0,0.0703012875307721,0.253213371687123,0,0,0,0.39548272563972,0.929214994019209
NIC3,0.0648268255158724,0.242988635859259,0.0443218046291232,0,0,0,0.539513657702232,0,0.0521060675499272,0,0.0562430087435862,0.02,0.181956326141489,1.0545306688895
NIC22,0.0222467854253275,0.115210053176954,0.0129723128699317,0,0.0503572660599634,0.226158630288839,0,0.152087891771831,0.400192156405407,0.0207749040017468,0,0,0.399165886844985,0.92115619023652
NIC19,0.201227634059677,0.118443562391492,0.0393864444391573,0,0.0454524944113259,0.177330458977609,0,0,0.36828086103224,0.0498785446884996,0,0,0.57152739630616,0.857733243546553
NIC20,0.136627797653645,0.027069983425063,0.0030140618289608,0,0,0.127976549630683,0,0.395793517932623,0.290125418117919,0.0193926714111056,0,0,0.604565151851163,0.796506894943813
NIC13,0.100089241618697,0.16532382046505,0.03766544557326,0,0.0886444316477711,0,0.174879089893063,0,0.43339797080216,0,0,0,0.638813381134869,0.769413291955442
NIC7,0.397305298477486,0.0108184670824235,0,0,0.0129577552843623,0,0.224455227868919,0,0.354463251286809,0,0,0,0.708213088028479,0.815119335025298
