"","corrected.Before_A1B1C1","corrected.Before_A1B1C2","corrected.Before_A1B2C1","corrected.Before_A1B2C2","corrected.Before_A2B1C1","corrected.Before_A2B1C2","corrected.Before_A2B2C1","corrected.Before_A2B2C2","corrected.Before_A2B3C1","corrected.Before_A2B3C2","corrected.Before_A2B4C1","corrected.Before_A2B4C2","corrected.Before_A2B5C1","corrected.Before_A2B5C2","uncorrected_A1B1C1","corrected.After_A1B1C1","uncorrected_A1B1C2","corrected.After_A1B1C2","uncorrected_A1B2C1","corrected.After_A1B2C1","uncorrected_A1B2C2","corrected.After_A1B2C2","uncorrected_A1B3C1","corrected.After_A1B3C1","uncorrected_A1B3C2","corrected.After_A1B3C2","uncorrected_A2B1C1","corrected.After_A2B1C1","uncorrected_A2B1C2","corrected.After_A2B1C2","uncorrected_A2B2C1","corrected.After_A2B2C1","uncorrected_A2B2C2","corrected.After_A2B2C2","uncorrected_A2B3C1","corrected.After_A2B3C1","uncorrected_A2B3C2","corrected.After_A2B3C2","uncorrected_A2B4C1","corrected.After_A2B4C1","uncorrected_A2B4C2","corrected.After_A2B4C2","uncorrected_A2B5C1","corrected.After_A2B5C1","uncorrected_A2B5C2","corrected.After_A2B5C2"
"S52",0.190936233013492,0.192205778119614,0.186276318473622,0.182320378436144,0.108067379331673,0.0878605732831718,0.108067379331673,0.0878605732831718,0.108067379331673,0.0878605732831718,0.108067379331673,0.0878605732831718,0.108067379331673,0.0878605732831718,0.197181254027351,0.226757972416743,0.19105865836786,0.21641202247513,0.191027694804408,0.227915188253243,0.179686346971527,0.211962035681889,0.201814987031566,0.226561135911897,0.17146185850177,0.21074175515854,0.108067379331673,0.14582501408965,0.0878605732828864,0.135276337856712,0.108067379331673,0.14582501408965,0.0878605732828864,0.135276337856712,0.108067379331673,0.14582501408965,0.0878605732828864,0.135276337856712,0.108067379331673,0.14582501408965,0.0878605732828864,0.135276337856712,0.108067379331673,0.14582501408965,0.0878605732828864,0.135276337856712
"NIC4",0.168473654544781,0.179495297377826,0.165112529234964,0.180609131144016,0.175950070146442,0.122268143233744,0.175950070146442,0.122268143233744,0.175950070146442,0.122268143233744,0.175950070146442,0.122268143233744,0.175950070146442,0.122268143233744,0.165037513139087,0.206439119334273,0.178936581620717,0.235344132207732,0.158191209467506,0.201103437972325,0.182458767342498,0.261776812552542,0.188495211792757,0.237894981299624,0.173829807886874,0.23773154883608,0.175950070146482,0.219197814450756,0.122268143233738,0.184762306738983,0.175950070146482,0.219197814450756,0.122268143233738,0.184762306738983,0.175950070146482,0.219197814450756,0.122268143233738,0.184762306738983,0.175950070146482,0.219197814450756,0.122268143233738,0.184762306738983,0.175950070146482,0.219197814450756,0.122268143233738,0.184762306738983
"NIC23",0.104920379717418,0.156235240152908,0.0920204926572372,0.145374676208466,0.0576589062348169,0.0429773719176734,0.0576589062348169,0.0429773719176734,0.0576589062348169,0.0429773719176734,0.0576589062348169,0.0429773719176734,0.0576589062348169,0.0429773719176734,0.11195445996877,0.187673896194568,0.142360415469644,0.182738888172415,0.104037089941522,0.167137878576482,0.151375076566138,0.197985649282884,0.123319648432055,0.176732915417013,0.144625521093634,0.191716749541494,0.0576493807192007,0.111616771239953,0.0429773719177179,0.103529284237738,0.0576493807192007,0.111616771239953,0.0429773719177179,0.103529284237738,0.0576493807192007,0.111616771239953,0.0429773719177179,0.103529284237738,0.0576493807192007,0.111616771239953,0.0429773719177179,0.103529284237738,0.0576493807192007,0.111616771239953,0.0429773719177179,0.103529284237738
"NIC24",0.122141041241917,0.133132510004851,0.114474026373498,0.133007954992376,0.130930859757203,0.11120295185565,0.130930859757203,0.11120295185565,0.130930859757203,0.11120295185565,0.130930859757203,0.11120295185565,0.130930859757203,0.11120295185565,0.123228736174456,0.158346693270905,0.13105985016785,0.158021883946951,0.118978358911608,0.145031766255792,0.130434123864755,0.163992777394707,0.135362149061976,0.169166059373546,0.130140888392602,0.164774766277553,0.130930859757202,0.178167922958102,0.11120295185589,0.139620597896979,0.130930859757202,0.178167922958102,0.11120295185589,0.139620597896979,0.130930859757202,0.178167922958102,0.11120295185589,0.139620597896979,0.130930859757202,0.178167922958102,0.11120295185589,0.139620597896979,0.130930859757202,0.178167922958102,0.11120295185589,0.139620597896979
"NIC25",0.109575783050044,0.159300283864678,0.104282092190064,0.150724675575638,0.0755282646646559,0.0724546118966655,0.0755282646646559,0.0724546118966655,0.0755282646646559,0.0724546118966655,0.0755282646646559,0.0724546118966655,0.0755282646646559,0.0724546118966655,0.116787462648479,0.157056455528834,0.140471837228669,0.198400763780695,0.111860785609784,0.148043179021729,0.162323163644488,0.223977269992943,0.131126827304912,0.171265801348391,0.139543363874468,0.194478062052647,0.0755282646646548,0.132677501118056,0.0724546119073945,0.113336215333665,0.0755282646646548,0.132677501118056,0.0724546119073945,0.113336215333665,0.0755282646646548,0.132677501118056,0.0724546119073945,0.113336215333665,0.0755282646646548,0.132677501118056,0.0724546119073945,0.113336215333665,0.0755282646646548,0.132677501118056,0.0724546119073945,0.113336215333665
"NIC12nova",0.113639550179415,0.170919305626252,0.112832163483223,0.165599224110563,0.0989828241061483,0.0651599641119298,0.0989828241061483,0.0651599641119298,0.0989828241061483,0.0651599641119298,0.0989828241061483,0.0651599641119298,0.0989828241061483,0.0651599641119298,0.122809438905113,0.188458383861057,0.161342556626211,0.216113164193127,0.116188232310811,0.190544417729949,0.171660297217562,0.235732855748722,0.128801862046983,0.190972493168479,0.161231739659096,0.225886394387379,0.0989828241067834,0.200546557082329,0.0651599641124668,0.143121384050305,0.0989828241067834,0.200546557082329,0.0651599641124668,0.143121384050305,0.0989828241067834,0.200546557082329,0.0651599641124668,0.143121384050305,0.0989828241067834,0.200546557082329,0.0651599641124668,0.143121384050305,0.0989828241067834,0.200546557082329,0.0651599641124668,0.143121384050305
"NIC29",0.164259296364239,0.172295651272076,0.159823076623725,0.175052621612709,0.198223792639744,0.167677467606746,0.198223792639744,0.167677467606746,0.198223792639744,0.167677467606746,0.198223792639744,0.167677467606746,0.198223792639744,0.167677467606746,0.162480934621037,0.197444263811644,0.166863196224305,0.200020338255144,0.160752386116531,0.19011493941214,0.173875867842843,0.218612794358983,0.17604029401299,0.185015125887442,0.167263200091328,0.202718395891564,0.198223792639753,0.186614614507343,0.167677467607077,0.173531763223597,0.198223792639753,0.186614614507343,0.167677467607077,0.173531763223597,0.198223792639753,0.186614614507343,0.167677467607077,0.173531763223597,0.198223792639753,0.186614614507343,0.167677467607077,0.173531763223597,0.198223792639753,0.186614614507343,0.167677467607077,0.173531763223597
"NIC15",0.142909047897456,0.136212310630795,0.139610461072705,0.142293846270052,0.202511384475417,0.134001134817914,0.202511384475417,0.134001134817914,0.202511384475417,0.134001134817914,0.202511384475417,0.134001134817914,0.202511384475417,0.134001134817914,0.139074789903197,0.150753840033931,0.148287333359664,0.197274853920388,0.141587899906117,0.150431361522203,0.144381164176034,0.204290192851732,0.158417089536359,0.164514694464932,0.133528853249862,0.186588534691396,0.20251138447536,0.150384338198442,0.134001134819999,0.117565781255147,0.20251138447536,0.150384338198442,0.134001134819999,0.117565781255147,0.20251138447536,0.150384338198442,0.134001134819999,0.117565781255147,0.20251138447536,0.150384338198442,0.134001134819999,0.117565781255147,0.20251138447536,0.150384338198442,0.134001134819999,0.117565781255147
"NIC18",0.110905141716247,0.14797246259648,0.111603396728144,0.146826804652637,0.0698799795845293,0.0467188634404108,0.0698799795845293,0.0467188634404108,0.0698799795845293,0.0467188634404108,0.0698799795845293,0.0467188634404108,0.0698799795845293,0.0467188634404108,0.139452746519067,0.211871528218251,0.135865469829192,0.19181200965776,0.121630774646989,0.203570524047284,0.146596038410059,0.202097237188082,0.126078227259921,0.192327211325345,0.137894089676309,0.195941887278181,0.0698799795874852,0.166994344262422,0.0467188634404329,0.115734979583816,0.0698799795874852,0.166994344262422,0.0467188634404329,0.115734979583816,0.0698799795874852,0.166994344262422,0.0467188634404329,0.115734979583816,0.0698799795874852,0.166994344262422,0.0467188634404329,0.115734979583816,0.0698799795874852,0.166994344262422,0.0467188634404329,0.115734979583816
"NIC17",0.106230848503876,0.162624349886918,0.11490082265672,0.157397793400216,0.10135516379212,0.0399477565113603,0.10135516379212,0.0399477565113603,0.10135516379212,0.0399477565113603,0.10135516379212,0.0399477565113603,0.10135516379212,0.0399477565113603,0.118706262846928,0.204332189522864,0.159201194373859,0.22293530116988,0.110858442522321,0.199925646065585,0.166515052686131,0.240026866842102,0.125089098065275,0.195992133398344,0.143639155859807,0.212060725211164,0.10135516379212,0.244388083237771,0.0399477565113619,0.172527608839636,0.10135516379212,0.244388083237771,0.0399477565113619,0.172527608839636,0.10135516379212,0.244388083237771,0.0399477565113619,0.172527608839636,0.10135516379212,0.244388083237771,0.0399477565113619,0.172527608839636,0.10135516379212,0.244388083237771,0.0399477565113619,0.172527608839636
