Mixture,Cancer_cells,Stromal_cells,Anti-Inflammatory_macro/mono,Pro-Inflammatory_macro/mono,Other_cells,Bcells,Regulatory_CD4_Tcells,CD4_Tcells,Proliferative_Tcells,NK_cells,CD8_Tcells,P-value,Correlation,RMSE
S52,0.232450392230778,0.192764141443337,0.166500534102291,0.0495247412578537,0,0.065162444124117,0.0931973418490524,0.00942421060756916,0.0998824551388478,0.0211885104669324,0.069905228779222,0,0.837877194619339,0.623696382387268
NIC4,0.201543907414481,0.13867462757448,0.0183665553734046,0.057704534701207,0.0099587626719398,0.154452383131227,0.0213007483344123,0.176101433191811,0.143452840237765,0.0784442073692728,0,0,0.806177656019241,0.725740442007409
NIC23,0.197655303092426,0.11131134709599,0.000169634794274113,0.211307587808159,0.0016549665820375,0.0848679816273678,0,0.140317080710823,0.18781058360729,0.0649055146816329,0,0,0.733238914378026,0.741896551709062
NIC24,0.126419324688477,0.153705875380184,0.0642694040520228,0.0329904813645132,0.0552392923992159,0.185367246136674,0.0448830265508481,0.130485255792937,0.139075209916065,0.0255839701671731,0.041980913551889,0,0.633877537932643,0.804864331452707
NIC25,0.209157590815328,0.150784919145337,0.10658250951281,0,0,0.123917548430631,0.0178198289514287,0.163493054409524,0.155978216516653,0.0393427462950337,0.0329235859232556,0,0.817201486566141,0.701523203564187
NIC12nova,0.242993381983094,0.0904700964237524,0.0567944382453381,0.00335709960740668,0,0.145305752783429,0,0.183057628006901,0.211077724465873,0.0669438784842065,0,0,0.582927180979333,0.855943258264803
NIC29,0.0993692855284353,0.195834594904435,0.0259045795273937,0,0.0714440054806239,0.197040144037454,0.0213203489380375,0.17650783960423,0.139315041350064,0.0355804288341865,0.03768373179514,0,0.803430729370453,0.676527627833283
NIC15,0.145512906854643,0.282313068036135,0.0272581437198885,0.00616309376086824,0,0.135265794975131,0.0357662299418741,0.18518507507756,0.0654733372976345,0.0507852936086937,0.0662770567275715,0,0.926326050007067,0.462601198453916
NIC18,0.218447951708781,0.0685341149439285,0.0368745637520474,0.00858904502858423,0.155840357204688,0.157861427258748,0.0144503091278877,0.162709691505413,0.149982496606622,0.0267100428633008,0,0,0.620023762538167,0.828944144105768
NIC17,0.280400538110163,0.0831549082952443,0.0379352638903597,0,0.0582271634742994,0.141218944514703,0.0139452358769914,0.189819956071464,0.113118449890181,0.0453897801158539,0.0367897597607412,0,0.815109773277889,0.756114159224087
NIC3,0.0657721025272699,0.231584023313204,0.0230015242660912,0.00629561076635745,0,0.199570146338839,0.055030991588627,0.236621342805925,0.0322698462154291,0.0777838822956034,0.0720705298826535,0,0.690405243170699,0.738949230684764
NIC22,0.233364403528936,0.0639897948250876,0.0416699572500853,0,0.0420754265487139,0.180001015882694,0.0210978750695909,0.193446617557018,0.141028358558454,0.0601857243297916,0.0231408264496292,0,0.821652858568636,0.788983571849293
NIC19,0.35397858240069,0.0562142796599232,0.0309277434710988,0,0.034186883797426,0.130413023805315,0.0125602544670355,0.187424846485124,0.108685054727949,0.0351301895507245,0.0504791416347144,0,0.569222784223931,0.856600431992828
NIC20,0.30672531971376,0.00866267815237707,0.00589927276956163,0.00177521202716016,0,0.180962383969767,0,0.2186833801392,0.234034407841435,0.043257345386739,0,0,0.555389966501511,0.882473018081791
NIC13,0.105275582556708,0.135050763477838,0.113805050304814,0.0171223933347632,0.0184205644911345,0.156762981386515,0.0263086898494458,0.139515957092072,0.138044559787617,0.0690007041108545,0.0806927536082385,0,0.830087382224393,0.72175705590123
NIC7,0.482969456488413,0.0184055220424807,0.0213141816580763,0.00682945204516832,6.31991563276076e-05,0.116903832103453,0.0214042169410948,0.146539637324048,0.141072947310108,0.0426355693982532,0.00186198553257664,0,0.77026143412383,0.744760155815304
