"","corrected.Before_A1B1C1","corrected.Before_A2B1C1","corrected.Before_A1B2C1","corrected.Before_A2B2C1","corrected.Before_A1B3C1","corrected.Before_A2B3C1","corrected.Before_A1B1C2","corrected.Before_A2B1C2","corrected.Before_A1B2C2","corrected.Before_A2B2C2","corrected.Before_A1B3C2","corrected.Before_A2B3C2","corrected.Before_A1B1C3","corrected.Before_A2B1C3","corrected.Before_A1B2C3","corrected.Before_A2B2C3","corrected.Before_A1B3C3","corrected.Before_A2B3C3","corrected.After_A1B1C1","corrected.After_A2B1C1","corrected.After_A1B2C1","corrected.After_A2B2C1","corrected.After_A1B3C1","corrected.After_A2B3C1","corrected.After_A1B1C2","corrected.After_A2B1C2","corrected.After_A1B2C2","corrected.After_A2B2C2","corrected.After_A1B3C2","corrected.After_A2B3C2","corrected.After_A1B1C3","corrected.After_A2B1C3","corrected.After_A1B2C3","corrected.After_A2B2C3","corrected.After_A1B3C3","corrected.After_A2B3C3","uncorrected_A1B1C1","uncorrected_A2B1C1","uncorrected_A1B2C1","uncorrected_A2B2C1","uncorrected_A1B3C1","uncorrected_A2B3C1","uncorrected_A1B1C2","uncorrected_A2B1C2","uncorrected_A1B2C2","uncorrected_A2B2C2","uncorrected_A1B3C2","uncorrected_A2B3C2","uncorrected_A1B1C3","uncorrected_A2B1C3","uncorrected_A1B2C3","uncorrected_A2B2C3","uncorrected_A1B3C3","uncorrected_A2B3C3"
"S52",0.275146668061737,0.250063704879362,0.275220769312097,0.254005729627121,0.275251898007754,0.249728027258053,0.224535452289931,0.328881564380185,0.223611128465715,0.302553384077423,0.224193950405943,0.310556564086356,0.27237686668371,0.241125189138526,0.273359690865146,0.153942724990174,0.274102283956875,0.115454336365148,0.292907148006675,0.314678564452466,0.303783538570702,0.318834106810238,0.311160699211207,0.311355429273184,0.251952749703323,0.342159431640013,0.265888056455776,0.34583280053308,0.311636165331388,0.34392762987735,0.289759930193128,0.33439340749229,0.333027230445155,0.343479986168469,0.342487401267329,0.340070806591011,0.260049357888689,0.275005247437036,0.266870728901293,0.278227406016085,0.271999469793556,0.27308575570084,0.237526455983203,0.290566153788274,0.240823048729919,0.293382731900322,0.267342657399138,0.292527972524023,0.269312040908186,0.28462912400369,0.266289833640787,0.289341851878798,0.271600389983517,0.287757900068787
"NIC4",0.21575502401606,0.217393380257372,0.216087692412475,0.207921290869563,0.216312576478564,0.207064914608238,0.131833612536456,0.321392632394756,0.131586380444965,0.316879477187638,0.131376966188781,0.30883619137355,0.131649957124801,0.118748095901584,0.13200208756812,0.23403405319247,0.131559643919359,0.123199517831644,0.361118717817408,0.398442131124277,0.372061336520333,0.407255106144645,0.382373642011275,0.39575610370055,0.27389395860784,0.459578521040911,0.329998325678515,0.475666536602317,0.369278988043499,0.454937678588082,0.261295963581091,0.349819620887435,0.350815998749113,0.357467001302138,0.533638487846294,0.350913521507056,0.276958864901937,0.288033290956489,0.281875941832038,0.291130384615902,0.284657973455325,0.287357270759881,0.223100867099231,0.292532414707643,0.260454681448477,0.294857892678144,0.279440725424092,0.29401918872499,0.221417953947914,0.289465683080461,0.268781115487988,0.29096364077555,0.279763690753756,0.293656619895535
"NIC23",0.204695626253525,0.207828181412912,0.204916495806829,0.206055149584714,0.205044265620031,0.205327965942488,0.21061772816205,0.217122141656737,0.21333237756617,0.23745418076906,0.214294904882012,0.203953047116823,0.22233382431476,0.232347626001823,0.222303060703782,0.177351108619462,0.221600795504353,0.171345464300283,0.220581247012163,0.202840280211078,0.21260956551957,0.206089947286963,0.202009908862582,0.201943048092688,0.261517742703576,0.198535006129481,0.240736586397378,0.209953683031828,0.222900111254251,0.201706369855794,0.320679020366969,0.281712826929574,0.25756174710601,0.277695188797992,0.313460323563072,0.28191562443701,0.225054918982163,0.220076441267195,0.222103139384094,0.226031237589755,0.21772886723458,0.218597129321715,0.249285808550892,0.211839173014291,0.235830369465947,0.214205013235481,0.224556777576587,0.211527515624667,0.272610147312397,0.242140546070968,0.248037626773282,0.241549339687328,0.254291166239436,0.242721383540762
"NIC24",0.178234420965009,0.185002704038802,0.178430966650573,0.180842775744508,0.178548200671165,0.182006571318605,0.183411381133353,0.166450944865951,0.185395975902029,0.20415069248958,0.18618831092318,0.161377757242622,0.193640193646446,0.208945660299582,0.192817053074001,0.129171567190114,0.191947106978248,0.170071864901154,0.223953182683687,0.19858946721601,0.216285825727379,0.194362590513653,0.203399790274503,0.200520220606752,0.276117622853047,0.205307501138207,0.2535754963598,0.205429062389481,0.22979676288085,0.205458797707443,0.353991985674818,0.274890714860134,0.287299203932706,0.272892278871148,0.291327032188288,0.291408096284287,0.223634108030521,0.220079244595383,0.226330618673336,0.205913581503407,0.222188321258326,0.221688473152113,0.237846093640275,0.205840088325574,0.227128888005803,0.206754656230509,0.22117804420916,0.206258021720866,0.25933608478855,0.235405692984802,0.244033056347542,0.23463650783275,0.258850398525698,0.241066936725839
"NIC25",0.19577315195413,0.201005455815713,0.195859211027647,0.203917736214839,0.19588395202574,0.204947634913314,0.163498592682199,0.213608656163107,0.164885255923653,0.207851254396041,0.16460495580826,0.185368650575816,0.132574426151417,0.180739831126122,0.115747455905187,0.0730650671640853,0.099947057995086,0.077001129628187,0.230258472192272,0.312193793456951,0.224233173785058,0.329256432345548,0.295780592299946,0.308195988120435,0.286790704022106,0.261132448189988,0.268491654259448,0.267161074498113,0.221537866328256,0.269585249277843,0.306580108653276,0.289621748566472,0.281625475379239,0.289521337526602,0.314665827692726,0.295776420007283,0.219465461374271,0.221395245097612,0.202533174496548,0.224654857273867,0.21947713876219,0.221004927698201,0.246881131388169,0.210125312707859,0.232274218961367,0.211849960361346,0.202716885165088,0.214183672693471,0.266574548746095,0.246434350125849,0.243515951194895,0.24418995152482,0.261521969374824,0.25162355976341
"NIC12nova",0.246850394619674,0.242925937641198,0.246995299731372,0.214808185040471,0.247073788990255,0.22088593521294,0.243427031804209,0.235471587762399,0.244541291680255,0.243217141415816,0.244984910179724,0.218985688077097,0.251142212590444,0.280522551095172,0.251838052571396,0.168460586794407,0.251480903820415,0.225401939641604,0.297849717185626,0.265996515312745,0.288345577194483,0.265998784213157,0.276946846392296,0.266941247852305,0.346802880263607,0.238491672867803,0.312223497195387,0.233673266749947,0.277580950968694,0.243241395138187,0.378672010544263,0.299736563740855,0.327094620166812,0.295057676658346,0.224355149601729,0.304539974266445,0.276835888013326,0.263809738561468,0.273721200456853,0.266023453338696,0.269296250829135,0.263480158373305,0.282530404003283,0.260938257641856,0.27256917776507,0.260996989322536,0.264348094735158,0.262314277313018,0.303066584758396,0.271245173986722,0.288062453372007,0.269763228764697,0.263321483476323,0.275858278349544
"NIC29",0.222163174062609,0.241317839944646,0.222412061620302,0.22826320188322,0.222538826891754,0.229305446765123,0.199941129991306,0.224523703506881,0.201148114136109,0.200184645993861,0.201771448929604,0.194185664825629,0.169088821388642,0.216007079434735,0.170674485712951,0.173823820674539,0.171525044930507,0.218220109080319,0.273955702121688,0.237474155655347,0.268075055612863,0.224580015304826,0.248448370893803,0.240112366654973,0.294122281415526,0.213334385107196,0.27428461900177,0.210408149063728,0.258182632992897,0.214930353750809,0.306604642996578,0.294924531555658,0.278870998346023,0.284995819817516,0.317082545475516,0.29877227717605,0.238902011979374,0.228012053763944,0.237896865755496,0.223909602018252,0.229174950730967,0.228108729055597,0.257378462307861,0.212228300089763,0.240676114464312,0.211162359786871,0.230131429557776,0.212615634179857,0.271909545313639,0.252721514629843,0.251967273579933,0.250778048406522,0.271636629570398,0.257837139621467
"NIC15",0.228912465526507,0.270371254346618,0.229191199649582,0.278756962777551,0.22929010236814,0.277979062847471,0.155277645283422,0.233986438783457,0.154810586841246,0.23269394775954,0.149151743623368,0.154480654274149,0.151898699647176,0.160746962237774,0.153963298106097,0.169707649707048,0.157066423361074,0.199324968596121,0.271471147657113,0.290708911545648,0.284206928238941,0.290818799811761,0.290387986442949,0.290138878580466,0.26190611592146,0.264008625725114,0.232125418695111,0.266757781401924,0.228282027768205,0.268790291969622,0.257064453352251,0.284693689749257,0.24803680530197,0.284576546342532,0.301469639296424,0.291890373730603,0.220826502280031,0.229396413516128,0.2253760946958,0.229280254200989,0.229193470505524,0.228929757838211,0.231269936555728,0.214788951675559,0.209966505319304,0.214259109256749,0.195269128361571,0.217226175625772,0.226024993433545,0.240664718150542,0.207184305867956,0.238427775423459,0.24094194300969,0.246495469408773
"NIC18",0.219573775358408,0.214102714468563,0.219719635154543,0.199446628751915,0.219803283878587,0.202645149477369,0.207218201133081,0.203092838248077,0.20796598356924,0.195137877013016,0.208333859685215,0.206924167236328,0.193619712457587,0.234066442368291,0.194811994949703,0.20438171539336,0.195449171363795,0.224450144161968,0.245246246477503,0.229096969151363,0.240493297081814,0.229502676256638,0.234311371034632,0.229461862025318,0.28943283565869,0.211376139793853,0.256777706184728,0.211444155272825,0.2335830877902,0.209804472477183,0.327321410207676,0.26489535101302,0.264533350894209,0.26525579175694,0.207301525831756,0.277137698402287,0.23427078502102,0.225826679441174,0.232349913722957,0.226452581665222,0.228974299625831,0.225962760622833,0.247631337254527,0.217669672552497,0.238365711928074,0.217446101978163,0.225902723229446,0.217530293545108,0.263629162166144,0.234002221520184,0.24100745041669,0.232176531551924,0.231208924476995,0.242011371862534
"NIC17",0.223866979579001,0.20890486644322,0.224139172368475,0.210927954321048,0.224336777947857,0.213241475699889,0.22387548140674,0.310210786401654,0.227024369101387,0.296901299917513,0.228660668127269,0.299959112126438,0.188951001527423,0.195468201099036,0.189508045015021,0.18803867175768,0.190563363381949,0.196355251563764,0.238044658213363,0.316069585756174,0.270712205481096,0.317554408351527,0.301324144359403,0.312336429234333,0.284516502997217,0.345704307365116,0.265148291110734,0.34524026013393,0.259069033300584,0.346383187307466,0.339603621438865,0.397527969963945,0.340636388416272,0.395405543374041,0.381038404111875,0.39243754425713,0.22653695773618,0.269628666605043,0.243882620745673,0.271106216654953,0.262567231703448,0.268503199007453,0.256444977269917,0.284509682054279,0.242051442583797,0.283539515763379,0.238609811551059,0.287232551516483,0.30144315894524,0.288359235792348,0.294728913319103,0.291631681633179,0.298748523883856,0.287526161756341
