"","corrected.Before_A1B1C1","corrected.Before_A2B1C1","corrected.Before_A3B1C1","corrected.Before_A1B2C1","corrected.Before_A2B2C1","corrected.Before_A3B2C1","corrected.Before_A1B1C2","corrected.Before_A2B1C2","corrected.Before_A3B1C2","corrected.Before_A1B2C2","corrected.Before_A2B2C2","corrected.Before_A3B2C2","corrected.After_A1B1C1","corrected.After_A2B1C1","corrected.After_A3B1C1","corrected.After_A1B2C1","corrected.After_A2B2C1","corrected.After_A3B2C1","corrected.After_A1B1C2","corrected.After_A2B1C2","corrected.After_A3B1C2","corrected.After_A1B2C2","corrected.After_A2B2C2","corrected.After_A3B2C2","uncorrected_A1B1C1","uncorrected_A2B1C1","uncorrected_A3B1C1","uncorrected_A1B2C1","uncorrected_A2B2C1","uncorrected_A3B2C1","uncorrected_A1B1C2","uncorrected_A2B1C2","uncorrected_A3B1C2","uncorrected_A1B2C2","uncorrected_A2B2C2","uncorrected_A3B2C2"
"S52",0.187095520019067,0.187095520019067,0.187095520019067,0.205180594393578,0.205180594393578,0.205180594393578,0.22021596563597,0.22021596563597,0.22021596563597,0.197596743330392,0.197596743330392,0.197596743330392,0.220190729243018,0.220190729243018,0.220190729243018,0.236180458785812,0.236180458785812,0.236180458785812,0.224148359513034,0.224148359513034,0.224148359513034,0.242859645738174,0.242930784178511,0.242930784178511,0.202886036604702,0.202886036604702,0.202886036604702,0.186657706302215,0.186657706302215,0.186657706302215,0.212667557370529,0.212667557370529,0.212667557370529,0.182761819942584,0.182761819942584,0.182761819942584
"NIC4",0.174779561808414,0.174779561808414,0.174779561808414,0.204959762934061,0.204959762934061,0.204959762934061,0.213029699613091,0.213029699613091,0.213029699613091,0.168043666181898,0.168043666181898,0.168043666181898,0.232401451274329,0.232401451274329,0.232401451274329,0.203476608329473,0.203476608329473,0.203476608329473,0.228300258724424,0.228300258724424,0.228300258724424,0.220761309280625,0.220761309280625,0.220761309280625,0.186608696008706,0.186608696008706,0.186608696008706,0.162395072092132,0.162395072092132,0.162395072092132,0.193236244129636,0.193236244129636,0.193236244129636,0.169210218991627,0.169210218991627,0.169210218991627
"NIC23",0.274176917913344,0.274176917913344,0.274176917913344,0.154854124662201,0.154854124662201,0.154854124662201,0.244392939590712,0.244392939590712,0.244392939590712,0.17824985450885,0.17824985450885,0.17824985450885,0.17655860401475,0.17655860401475,0.17655860401475,0.171571612276888,0.171571612276888,0.171571612276888,0.252692650785843,0.252692650785843,0.252692650785843,0.165995534636211,0.163778632189604,0.163778632189604,0.158230216906199,0.158230216906199,0.158230216906199,0.126912297037026,0.126912297037026,0.126912297037026,0.22612661140512,0.22612661140512,0.22612661140512,0.128423779012992,0.129369115531817,0.129369115531817
"NIC24",0.280281765481212,0.206061411550367,0.280281765481212,0.166060754682597,0.16331672802983,0.166060754682597,0.170921184090656,0.170921184090656,0.170921184090656,0.149954463718286,0.149954463718286,0.149954463718286,0.149174263696552,0.149174263696552,0.149174263696552,0.132012320613871,0.132012320613871,0.132012320613871,0.168429387813821,0.168429387813821,0.168429387813821,0.159559008571976,0.158356153407066,0.158356153407066,0.122927789189097,0.122927789189097,0.122927789189097,0.10453103135514,0.10453103135514,0.10453103135514,0.161974399297601,0.161974399297601,0.161974399297601,0.103544552201539,0.103544552201539,0.103544552201539
"NIC25",0.294013681520993,0.108619170272285,0.294013681520993,0.127152734929583,0.128207645091335,0.127152734929583,0.200448932924714,0.200448932924714,0.200448932924714,0.172077765491761,0.172077765491761,0.172077765491761,0.226959267687866,0.226959267687866,0.226959267687866,0.142160830739691,0.142160830739691,0.142160830739691,0.22695024288397,0.22695024288397,0.22695024288397,0.137948167505381,0.137948167505381,0.137948167505381,0.184306343279457,0.184306343279457,0.184306343279457,0.0895316595162385,0.0895316595162385,0.0895316595162385,0.224386723510744,0.224386723510744,0.224386723510744,0.0920991582010159,0.0920991582010159,0.0920991582010159
"NIC12nova",0.229156247516418,0.226255788189396,0.229156247516418,0.265422286160049,0.238443495132141,0.265422286160049,0.22026176250506,0.22026176250506,0.22026176250506,0.178860133824115,0.178860133824115,0.178860133824115,0.222212840260949,0.222212840260949,0.222212840260949,0.185091150521836,0.185091150521836,0.185091150521836,0.264882356729245,0.264882356729245,0.264882356729245,0.186898788744777,0.186757031211606,0.186757031211606,0.177657058251635,0.177657058251635,0.177657058251635,0.159403014144045,0.159403014144045,0.159403014144045,0.228842291890416,0.228842291890416,0.228842291890416,0.166971375594668,0.166968721134492,0.166968721134492
"NIC29",0.32474465067834,0.129702005257074,0.32474465067834,0.21104543952126,0.211045439521261,0.211045439521261,0.194990114607917,0.194990114607917,0.194990114607917,0.167687041718453,0.169294089677721,0.169294089677721,0.20290280788821,0.20290280788821,0.20290280788821,0.147869320356626,0.147869320356626,0.147869320356626,0.239146817612198,0.239146817612198,0.239146817612198,0.130123142377535,0.129262291810675,0.129262291810675,0.165317310162805,0.165317310162805,0.165317310162805,0.110096809436241,0.110096809436241,0.110096809436241,0.222011825837079,0.222011825837079,0.222011825837079,0.113959638973113,0.113959638973113,0.113959638973113
"NIC15",0.209889171473053,0.178385502738499,0.209889171473053,0.16686373695066,0.162324733347662,0.16686373695066,0.211593845630804,0.211593845630804,0.211593845630804,0.209298008700714,0.209298008700714,0.209298008700714,0.207877822316965,0.207877822316965,0.207877822316965,0.0969193302016706,0.0969193302016706,0.0969193302016706,0.239866473240842,0.239866473240842,0.239866473240842,0.0929239187085573,0.0929239187085573,0.0929239187085573,0.181189076985423,0.181189076985423,0.181189076985423,0.0896873818413174,0.0896873818413174,0.0896873818413174,0.224411780255613,0.224411780255613,0.224411780255613,0.0930486707602729,0.0930486707602729,0.0930486707602729
"NIC18",0.231697739129221,0.132325055602982,0.231697739129221,0.196904770923056,0.218937816304133,0.196904770923056,0.199091212215588,0.199091212215588,0.199091212215588,0.150918835362505,0.158712279890446,0.158712279890446,0.210463335096873,0.210463335096873,0.210463335096873,0.141718618028159,0.141718618028159,0.141718618028159,0.233954823065789,0.233954823065789,0.233954823065789,0.161991550294536,0.161990294776433,0.161990294776433,0.154446899235078,0.154446899235078,0.154446899235078,0.121432885800465,0.121432885800465,0.121432885800465,0.208527462258651,0.208527462258651,0.208527462258651,0.119159281998435,0.119159281998435,0.119159281998435
"NIC17",0.212549120279966,0.282540389850352,0.212549120279966,0.225638884654705,0.225638884654705,0.24093348001485,0.228074618645373,0.228074618645373,0.228074618645373,0.183242076680765,0.183242076680765,0.183242076680765,0.240092534878637,0.240092534878637,0.240092534878637,0.205419926177737,0.205419926177737,0.205419926177737,0.234720246598588,0.234720246598588,0.234720246598588,0.213602878858044,0.213596674814679,0.213596674814679,0.213635968487622,0.213635968487622,0.213635968487622,0.16439959133882,0.16439959133882,0.16439959133882,0.220404924998305,0.220404924998305,0.220404924998305,0.170498335133545,0.170498335133545,0.170498335133545
