"","A1B1C1D1E1","A2B1C1D1E1","A3B1C1D1E1","A1B2C1D1E1","A2B2C1D1E1","A3B2C1D1E1","A1B1C2D1E1","A2B1C2D1E1","A3B1C2D1E1","A1B2C2D1E1","A2B2C2D1E1","A3B2C2D1E1","A1B1C1D2E1","A2B1C1D2E1","A3B1C1D2E1","A1B2C1D2E1","A2B2C1D2E1","A3B2C1D2E1","A1B1C2D2E1","A2B1C2D2E1","A3B1C2D2E1","A1B2C2D2E1","A2B2C2D2E1","A3B2C2D2E1","A1B1C1D1E2","A2B1C1D1E2","A3B1C1D1E2","A1B2C1D1E2","A2B2C1D1E2","A3B2C1D1E2","A1B1C2D1E2","A2B1C2D1E2","A3B1C2D1E2","A1B2C2D1E2","A2B2C2D1E2","A3B2C2D1E2","A1B1C1D2E2","A2B1C1D2E2","A3B1C1D2E2","A1B2C1D2E2","A2B2C1D2E2","A3B2C1D2E2","A1B1C2D2E2","A2B1C2D2E2","A3B1C2D2E2","A1B2C2D2E2","A2B2C2D2E2","A3B2C2D2E2"
"S52",0.234608371518314,0.234608371518314,0.234608371518314,0.194500578129977,0.194500578129977,0.194500578129977,0.25952569626632,0.25952569626632,0.25952569626632,0.233429831617315,0.233429831617315,0.233429831617315,0.224916649594804,0.224916649594804,0.224916649594804,0.238064702611799,0.238064702611799,0.238064702611799,0.224916649594804,0.224916649594804,0.224916649594804,0.238064702611799,0.238064702611799,0.238064702611799,0.245140889684362,0.245140889684362,0.245140889684362,0.175954998211141,0.175954998211141,0.175954998211141,0.273425304314296,0.273425304314296,0.273425304314296,0.239927751019123,0.239927751019123,0.239927751019123,0.228623341428756,0.228623341428756,0.228623341428756,0.240262374529197,0.240262374529197,0.240262374529197,0.228623341428756,0.228623341428756,0.228623341428756,0.240262374529196,0.240262374529196,0.240262374529196
"NIC4",0.239631892041639,0.239631892041639,0.239631892041639,0.204217897918178,0.204217897918178,0.204217897918178,0.27068490218079,0.27068490218079,0.27068490218079,0.195778433823546,0.195778433823546,0.195778433823546,0.157645508728819,0.157645508728819,0.157645508728819,0.158109999936243,0.158109999936243,0.158109999936243,0.157645508728818,0.157645508728818,0.157645508728818,0.158109999936243,0.158109999936243,0.158109999936243,0.275589226973899,0.275589226973899,0.275589226973899,0.171756030000031,0.171756030000031,0.171756030000031,0.244935363336804,0.244935363336804,0.244935363336804,0.220253578344038,0.220253578344038,0.220253578344038,0.0940673967558449,0.0940673967558449,0.0940673967558449,0.108229846510105,0.108229846510105,0.108229846510105,0.0940673967558453,0.0940673967558453,0.0940673967558453,0.108229846510105,0.108229846510105,0.108229846510105
"NIC23",0.240732064680835,0.240732064680835,0.240732064680835,0.184196418825309,0.184196418825309,0.184196418825309,0.284675402350151,0.284675402350151,0.284675402350151,0.224447967651747,0.224447967651747,0.224447967651747,0.252244351760379,0.252244351760379,0.252244351760379,0.24476911737158,0.24476911737158,0.24476911737158,0.252244351760379,0.252244351760379,0.252244351760379,0.24476911737158,0.24476911737158,0.24476911737158,0.245751273468747,0.245751273468747,0.245751273468747,0.17394206886587,0.17394206886587,0.17394206886587,0.307448910772828,0.307448910772828,0.307448910772828,0.245123000283701,0.245123000283701,0.245123000283701,0.243179855434845,0.243179855434845,0.243179855434845,0.244644906883918,0.244644906883918,0.244644906883918,0.243179855434845,0.243179855434845,0.243179855434845,0.244644906883918,0.244644906883918,0.244644906883918
"NIC24",0.222484623240871,0.221895511641048,0.222693908366217,0.183228402966582,0.183228402966582,0.183228402966582,0.227871733182412,0.227871733182412,0.227871733182412,0.209357638491026,0.209357638491026,0.209357638491026,0.236044291873458,0.236044291873458,0.236044291873458,0.243251838442643,0.243251838442643,0.243251838442643,0.236044291873458,0.236044291873458,0.236044291873458,0.243251838442643,0.243251838442643,0.243251838442643,0.233690949020353,0.233690949020353,0.233690949020353,0.187656039566225,0.187656039566225,0.187656039566225,0.277840778581998,0.277840778581998,0.277840778581998,0.229211457772145,0.229211457772145,0.229211457772145,0.250265645234071,0.250265645234071,0.250265645234071,0.259551203657872,0.259551203657872,0.259551203657872,0.250265645234071,0.250265645234071,0.250265645234071,0.259551203657873,0.259551203657873,0.259551203657873
"NIC25",0.204928940099554,0.204928940099554,0.204928940099554,0.154875126798975,0.154875126798975,0.154875126798975,0.279430630574489,0.279430630574489,0.279430630574489,0.209323848888535,0.209323848888535,0.209323848888535,0.252332792305127,0.252332792305127,0.252332792305127,0.251590480440014,0.251590480440014,0.251590480440014,0.252332792305127,0.252332792305127,0.252332792305127,0.251590480440014,0.251590480440014,0.251590480440014,0.277825558993055,0.277825558993055,0.277825558993055,0.108715222562166,0.108715222562166,0.108715222562166,0.299614412986883,0.299614412986883,0.299614412986883,0.21776870163825,0.21776870163825,0.21776870163825,0.258750484563795,0.258750484563795,0.258750484563795,0.260754024919011,0.260754024919011,0.260754024919011,0.258750484563795,0.258750484563795,0.258750484563795,0.260754024919011,0.260754024919011,0.260754024919011
"NIC12nova",0.216552883249707,0.216552883249707,0.216552883249707,0.155102083589346,0.155102083589346,0.155102083589346,0.303463622029307,0.303463622029307,0.303463622029307,0.24585452257045,0.24585452257045,0.24585452257045,0.280150916331626,0.280150916331626,0.280150916331626,0.280319715320434,0.280319715320434,0.280319715320434,0.280150916331626,0.280150916331626,0.280150916331626,0.280319715320434,0.280319715320434,0.280319715320434,0.25182167111025,0.25182167111025,0.25182167111025,0.102035564095247,0.102035564095247,0.102035564095247,0.305933347420646,0.305933347420646,0.305933347420646,0.260622024210384,0.260622024210384,0.260622024210384,0.294948294500934,0.294948294500934,0.294948294500934,0.313551128809759,0.313551128809759,0.313551128809759,0.294948294500933,0.294948294500933,0.294948294500933,0.31355112880976,0.31355112880976,0.31355112880976
"NIC29",0.240608960947575,0.240608960947575,0.240608960947575,0.206861678188557,0.206861678188557,0.206861678188557,0.245127612507286,0.245127612507286,0.245127612507286,0.246084872405913,0.246084872405913,0.246084872405913,0.246617471737205,0.246617471737205,0.246617471737205,0.25155749125534,0.25155749125534,0.25155749125534,0.246617471737205,0.246617471737205,0.246617471737205,0.251557491255341,0.251557491255341,0.251557491255341,0.253136567841366,0.253136567841366,0.253136567841366,0.204510491537242,0.204510491537242,0.204510491537242,0.296672859656609,0.296672859656609,0.296672859656609,0.251852905208845,0.251852905208845,0.251852905208845,0.271896406325015,0.271896406325015,0.271896406325015,0.286548115978149,0.286548115978149,0.286548115978149,0.271896406325014,0.271896406325014,0.271896406325014,0.286548115978149,0.286548115978149,0.286548115978149
"NIC15",0.250896859237478,0.250896859237478,0.250896859237478,0.210687250461962,0.210687250461962,0.210687250461962,0.276446631787028,0.276446631787028,0.276446631787028,0.257185162810404,0.257185162810404,0.257185162810404,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.278389748133159,0.279477520115823,0.279477520115823,0.221417252448346,0.221417252448346,0.221417252448346,0.29376794612527,0.29376794612527,0.29376794612527,0.254149617144325,0.254149617144325,0.254149617144325,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209,0.267527053545209
"NIC18",0.16774048758849,0.16774048758849,0.16774048758849,0.107939570558401,0.107939570558401,0.107939570558401,0.234871511824865,0.234871511824865,0.234871511824865,0.198071102467158,0.198071102467158,0.198071102467158,0.264685485325905,0.264685485325905,0.264685485325905,0.25195694291838,0.25195694291838,0.25195694291838,0.264685485325904,0.264685485325904,0.264685485325904,0.25195694291838,0.25195694291838,0.25195694291838,0.232461420350858,0.232461420350858,0.232461420350858,0.0622925447606214,0.0622925447606214,0.0622925447606214,0.304525389589241,0.304525389589241,0.304525389589241,0.211827745943983,0.211827745943983,0.211827745943983,0.231763855778227,0.231763855778227,0.231763855778227,0.231663305331205,0.231663305331205,0.231663305331205,0.231763855778225,0.231763855778225,0.231763855778225,0.231663305331205,0.231663305331205,0.231663305331205
"NIC17",0.202938250962927,0.202938250962927,0.202938250962927,0.179853202003611,0.179862275032011,0.179862273251829,0.280869711187432,0.280869711187432,0.280869711187432,0.266002039056888,0.266002039056888,0.266002039056888,0.256644507452459,0.256644507452459,0.256644507452459,0.255867412819657,0.255867412819657,0.255867412819657,0.256644507452459,0.256644507452459,0.256644507452459,0.255867412819657,0.255867412819657,0.255867412819657,0.276379344040726,0.276379344040726,0.276379344040726,0.132381326176329,0.132381326176329,0.132381326176329,0.32890056401643,0.32890056401643,0.32890056401643,0.247976325174676,0.247976325174676,0.247976325174676,0.159166681800875,0.159166681800875,0.159166681800875,0.187371561851671,0.187371561851671,0.187371561851671,0.159166681800874,0.159166681800874,0.159166681800874,0.187371561851672,0.187371561851672,0.187371561851672
