"","uncorrected_gd","correctedBefore_gd","correctedAfter_gd","uncorrected_woProl_gd","correctedBefore_woProl_gd","correctedAfter_woProl_gd","uncorrected_gdwoOthers","correctedBefore_gdwoOthers","correctedAfter_gdwoOthers","uncorrected_woProl_gdwoOthers","correctedBefore_woProl_gdwoOthers","correctedAfter_woProl_gdwoOthers"
"AutoGeneS_linear",0.200731817993973,NA,NA,0.220570863904715,NA,NA,0.200731817993973,NA,NA,0.220570863904715,NA,NA
"AutoGeneS_nnls",0.323884299387204,NA,NA,0.331612854080617,NA,NA,0.323884299387204,NA,NA,0.331612854080617,NA,NA
"AutoGeneS_nusvr",0.713730793833423,NA,NA,0.660770337181068,NA,NA,0.713730793833423,NA,NA,0.660770337181068,NA,NA
"BisqueRNA",0.277947039332781,0.277947039332782,-0.269877127786792,0.263902614330246,0.263902614330246,-0.32217379402573,0.277947039332781,0.277947039332782,-0.269877127786792,0.263902614330246,0.263902614330246,-0.32217379402573
"BSeqSC",0.0128251293489558,-0.0502785157148345,-0.179206660879159,0.109291851392428,0.118639424955979,-0.166769833982449,0.0128251293489558,-0.0502785157148346,-0.179206660879159,0.109291851392428,0.118639424955979,-0.166769833982449
"CIBERSORTx",0.842496751624095,0.842897579374628,0.632241242221358,0.800884920121194,0.80153811628306,0.617064154547627,0.842496751624095,0.842897579374628,0.632241242221358,0.800884920121194,0.80153811628306,0.617064154547627
"DigitalDLSorter",0.833926827625435,0.800562885003722,0.747129476648896,0.815987600354553,0.813512274251716,0.753922794739781,0.833926827625435,0.800562885003721,0.747129476648896,0.815987600354553,0.813512274251716,0.753922794739781
"DWLS",0.629775724252148,NA,0.304897584165373,0.76953231631069,NA,0.444206032223417,0.629775724252148,NA,0.304897584165373,0.76953231631069,NA,0.444206032223417
"MOMF",-0.0773102940464047,-0.257439632239267,-0.249305260207098,-0.123208334298663,-0.316228769418875,-0.239906375918865,-0.0773102940464047,-0.257439632239267,-0.249305260207099,-0.123208334298663,-0.316228769418875,-0.239906375918865
"MuSiC_woGrouping",0.308266649266213,NA,NA,0.339828952186244,NA,NA,0.308266649266213,NA,NA,0.339828952186244,NA,NA
"MuSiC_wGrouping",0.400925944400852,-0.441354905802909,-0.181465527965442,0.410255780960314,-0.455359422905644,-0.193384261281696,0.400925944400852,-0.441354905802909,-0.181465527965442,0.410255780960314,-0.455359422905644,-0.193384261281696
"Scaden",0.81816224798203,0.829120606969863,0.694818187152767,0.860245587303328,0.93259272046403,0.742400837408951,0.818162247982029,0.829120606969862,0.694818187152767,0.860245587303328,0.93259272046403,0.742400837408951
"SCDC",0.220936558205465,0.0454717587269939,0.0957038087156036,0.27484022899521,0.126200002562651,0.18046242469156,0.220936558205465,0.0454717587269939,0.0957038087156035,0.27484022899521,0.126200002562651,0.18046242469156
