"","uncorrected_gd","correctedBefore_gd","correctedAfter_gd","uncorrected_woProl_gd","correctedBefore_woProl_gd","correctedAfter_woProl_gd","uncorrected_gdwoOthers","correctedBefore_gdwoOthers","correctedAfter_gdwoOthers","uncorrected_woProl_gdwoOthers","correctedBefore_woProl_gdwoOthers","correctedAfter_woProl_gdwoOthers"
"AutoGeneS_linear",0.532682486392504,NA,NA,0.460172867916931,NA,NA,0.535371664391532,NA,NA,0.463121932871291,NA,NA
"AutoGeneS_nnls",0.23525337348677,NA,NA,0.247491167193496,NA,NA,0.241002045540288,NA,NA,0.252989266581636,NA,NA
"AutoGeneS_nusvr",0.164044205900749,NA,NA,0.327742528390953,NA,NA,0.165769417767836,NA,NA,0.328560127224749,NA,NA
"BisqueRNA",0.19985547311255,0.199855473112549,0.256447488110839,0.21051409673745,0.21051409673745,0.271906347005864,0.208252639566631,0.208252639566631,0.264503160708943,0.21917962406234,0.21917962406234,0.280265191317185
"BSeqSC",0.248380677215636,0.276996464960499,0.291782753319842,0.253505541676449,0.248998611863422,0.3180777057631,0.255922988707287,0.284086648067133,0.299184037724924,0.260947050043155,0.256485097132401,0.325635802520217
"CIBERSORTx",0.100871273673135,0.100858454576002,0.163764126836287,0.12035694012295,0.120379567035544,0.171668650663317,0.104169947087073,0.104096932920652,0.169636782139231,0.122807057618938,0.122803920742693,0.177570980819707
"DigitalDLSorter",0.104419839714322,0.10988650213976,0.139518642333359,0.113609770763755,0.113051503750069,0.126257340599457,0.103814299718205,0.110106761641401,0.144127283363414,0.112395954757874,0.112430533828778,0.13209722906003
"DWLS",0.145426350615335,NA,0.250563903964999,0.125069727701911,NA,0.228731282233062,0.150739353436994,NA,0.256072589156903,0.128998294959863,NA,0.234116493124999
"MOMF",0.279393748126595,0.311210554741423,0.338362147331569,0.299929704188986,0.317488101891868,0.35339962302767,0.286502305238192,0.318670288708905,0.345423578527734,0.307559584789337,0.325522662312683,0.360716230460329
"MuSiC_woGrouping",0.234168016704896,NA,NA,0.246128445222208,NA,NA,0.239450823444355,NA,NA,0.251066092182547,NA,NA
"MuSiC_wGrouping",0.18566066244242,0.252496061449184,0.235928933654692,0.192946953448462,0.250442221822718,0.248894730846753,0.193940945101744,0.261356826773098,0.244303983754419,0.201403201289236,0.259675702430524,0.257483456035043
"Scaden",0.113453057482157,0.107680712981093,0.156697778003657,0.110512397206241,0.0872303839661408,0.153723449094062,0.115245520244868,0.11012673699335,0.160557878702508,0.110544826948588,0.0850966256359435,0.156418843726548
"SCDC",0.258234248847569,0.274666905900465,0.276318863445779,0.285647723986545,0.28843176975699,0.306958986903957,0.263882807858511,0.281200777166044,0.282336188753789,0.290300128393343,0.294626329003186,0.312148847298028
