"","values","cell_types","models","cols"
"1",0.41541454800102,"Cancer cells","BisqueRNA","uncorrected_woProl_gd"
"2",0.43447895618065,"Stromal cells","BisqueRNA","uncorrected_woProl_gd"
"3",0.0802887469909295,"Macro/mono Lineage","BisqueRNA","uncorrected_woProl_gd"
"4",0.0245715541313501,"Bcells","BisqueRNA","uncorrected_woProl_gd"
"5",0.181400107287785,"CD4 Tcells","BisqueRNA","uncorrected_woProl_gd"
"6",-0.13821458886856,"Regulatory CD4 Tcells","BisqueRNA","uncorrected_woProl_gd"
"7",0.719345494653161,"CD8 Tcells","BisqueRNA","uncorrected_woProl_gd"
"8",-0.0605477600016033,"NK cells","BisqueRNA","uncorrected_woProl_gd"
"9",0.372168801907583,"Cancer cells","BisqueRNA","uncorrected_woProl_gdwoOthers"
"10",0.426769393338699,"Stromal cells","BisqueRNA","uncorrected_woProl_gdwoOthers"
"11",0.0720379900495262,"Macro/mono Lineage","BisqueRNA","uncorrected_woProl_gdwoOthers"
"12",0.0173916930906447,"Bcells","BisqueRNA","uncorrected_woProl_gdwoOthers"
"13",0.192004789776576,"CD4 Tcells","BisqueRNA","uncorrected_woProl_gdwoOthers"
"14",-0.134562713762405,"Regulatory CD4 Tcells","BisqueRNA","uncorrected_woProl_gdwoOthers"
"15",0.747898566245996,"CD8 Tcells","BisqueRNA","uncorrected_woProl_gdwoOthers"
"16",-0.0453616572103602,"NK cells","BisqueRNA","uncorrected_woProl_gdwoOthers"
"17",0.242933669985976,"Cancer cells","BSeqSC","uncorrected_woProl_gd"
"18",0.486433665059314,"Stromal cells","BSeqSC","uncorrected_woProl_gd"
"19",0.510615894363031,"Macro/mono Lineage","BSeqSC","uncorrected_woProl_gd"
"20",0.087540344806166,"Bcells","BSeqSC","uncorrected_woProl_gd"
"21",0.0598301819631214,"CD4 Tcells","BSeqSC","uncorrected_woProl_gd"
"22",0.0693324638010982,"Regulatory CD4 Tcells","BSeqSC","uncorrected_woProl_gd"
"23",-0.152445145454856,"CD8 Tcells","BSeqSC","uncorrected_woProl_gd"
"24",0.108355536042008,"NK cells","BSeqSC","uncorrected_woProl_gd"
"25",0.213508408215855,"Cancer cells","BSeqSC","uncorrected_woProl_gdwoOthers"
"26",0.484265747334599,"Stromal cells","BSeqSC","uncorrected_woProl_gdwoOthers"
"27",0.500213895554701,"Macro/mono Lineage","BSeqSC","uncorrected_woProl_gdwoOthers"
"28",0.0891324843394069,"Bcells","BSeqSC","uncorrected_woProl_gdwoOthers"
"29",0.0493735336999688,"CD4 Tcells","BSeqSC","uncorrected_woProl_gdwoOthers"
"30",0.0735208233884912,"Regulatory CD4 Tcells","BSeqSC","uncorrected_woProl_gdwoOthers"
"31",-0.141421532019933,"CD8 Tcells","BSeqSC","uncorrected_woProl_gdwoOthers"
"32",0.123825452264404,"NK cells","BSeqSC","uncorrected_woProl_gdwoOthers"
"33",0.405849620616296,"Cancer cells","CIBERSORTx","uncorrected_woProl_gd"
"34",0.229079803384826,"Stromal cells","CIBERSORTx","uncorrected_woProl_gd"
"35",0.367923227117373,"Macro/mono Lineage","CIBERSORTx","uncorrected_woProl_gd"
"36",0.32798051670955,"Bcells","CIBERSORTx","uncorrected_woProl_gd"
"37",0.450819475424863,"CD4 Tcells","CIBERSORTx","uncorrected_woProl_gd"
"38",-0.133015236236662,"Regulatory CD4 Tcells","CIBERSORTx","uncorrected_woProl_gd"
"39",0.657436906505524,"CD8 Tcells","CIBERSORTx","uncorrected_woProl_gd"
"40",NA,"NK cells","CIBERSORTx","uncorrected_woProl_gd"
"41",0.357528331605077,"Cancer cells","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"42",0.232610202548028,"Stromal cells","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"43",0.376294757467281,"Macro/mono Lineage","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"44",0.345391022050336,"Bcells","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"45",0.425394799905729,"CD4 Tcells","CIBERSORTx","uncorrected_woProl_gdwoOthers"
"46",-0.123277711092947,"Regulatory CD4 Tcells","CIBERSORTx","uncorrected_woProl_gdwoOthers"
