"","values","cell_types","models","cols"
"1",0.521039501182173,"Cancer cells","BisqueRNA","uncorrected_woProl_gd"
"2",0.132617720661648,"Stromal cells","BisqueRNA","uncorrected_woProl_gd"
"3",0.0896045872736794,"Macro/mono Lineage","BisqueRNA","uncorrected_woProl_gd"
"4",0.109388685909561,"Bcells","BisqueRNA","uncorrected_woProl_gd"
"5",0.147680284489452,"CD4 Tcells","BisqueRNA","uncorrected_woProl_gd"
"6",0.13695213602776,"Regulatory CD4 Tcells","BisqueRNA","uncorrected_woProl_gd"
"7",0.113436308153795,"CD8 Tcells","BisqueRNA","uncorrected_woProl_gd"
"8",0.0985400587068403,"NK cells","BisqueRNA","uncorrected_woProl_gd"
"9",0.550488938380508,"Cancer cells","BisqueRNA","uncorrected_woProl_gdwoOthers"
"10",0.131223766195502,"Stromal cells","BisqueRNA","uncorrected_woProl_gdwoOthers"
"11",0.0881500216610945,"Macro/mono Lineage","BisqueRNA","uncorrected_woProl_gdwoOthers"
"12",0.109252876752767,"Bcells","BisqueRNA","uncorrected_woProl_gdwoOthers"
"13",0.14600453819747,"CD4 Tcells","BisqueRNA","uncorrected_woProl_gdwoOthers"
"14",0.136631340721928,"Regulatory CD4 Tcells","BisqueRNA","uncorrected_woProl_gdwoOthers"
"15",0.111548585947095,"CD8 Tcells","BisqueRNA","uncorrected_woProl_gdwoOthers"
"16",0.0983708334028117,"NK cells","BisqueRNA","uncorrected_woProl_gdwoOthers"
"17",0.554504408830096,"Cancer cells","BSeqSC","uncorrected_woProl_gd"
"18",0.209831611524345,"Stromal cells","BSeqSC","uncorrected_woProl_gd"
"19",0.060393020258789,"Macro/mono Lineage","BSeqSC","uncorrected_woProl_gd"
"20",0.200791983922761,"Bcells","BSeqSC","uncorrected_woProl_gd"
"21",0.253753475352468,"CD4 Tcells","BSeqSC","uncorrected_woProl_gd"
"22",0.264246224115734,"Regulatory CD4 Tcells","BSeqSC","uncorrected_woProl_gd"
"23",0.0755593345610699,"CD8 Tcells","BSeqSC","uncorrected_woProl_gd"
"24",0.0175328337140213,"NK cells","BSeqSC","uncorrected_woProl_gd"
