"","values","samples","models","cols"
"1",0.177434952502329,"NIC12nova","BisqueRNA","uncorrected_woProl_gd"
"2",0.176283792163779,"NIC12","BisqueRNA","uncorrected_woProl_gd"
"3",-0.126475500192896,"NIC13","BisqueRNA","uncorrected_woProl_gd"
"4",0.279400637356266,"NIC15","BisqueRNA","uncorrected_woProl_gd"
"5",0.256578530962725,"NIC16","BisqueRNA","uncorrected_woProl_gd"
"6",0.23693032479438,"NIC17","BisqueRNA","uncorrected_woProl_gd"
"7",0.0635077761836243,"NIC18","BisqueRNA","uncorrected_woProl_gd"
"8",0.621980918451895,"NIC19","BisqueRNA","uncorrected_woProl_gd"
"9",0.360476486787094,"NIC20","BisqueRNA","uncorrected_woProl_gd"
"10",0.137436603269483,"NIC21","BisqueRNA","uncorrected_woProl_gd"
"11",-0.112950250392881,"NIC22nova","BisqueRNA","uncorrected_woProl_gd"
"12",0.104331788416785,"NIC22","BisqueRNA","uncorrected_woProl_gd"
"13",-0.00610815830618846,"NIC23","BisqueRNA","uncorrected_woProl_gd"
"14",-0.274783219473105,"NIC24","BisqueRNA","uncorrected_woProl_gd"
"15",0.373595412910609,"NIC25","BisqueRNA","uncorrected_woProl_gd"
"16",0.535345975987864,"NIC27","BisqueRNA","uncorrected_woProl_gd"
"17",-0.0365465304060431,"NIC29","BisqueRNA","uncorrected_woProl_gd"
"18",0.291484480694114,"NIC3","BisqueRNA","uncorrected_woProl_gd"
"19",0.731585944850927,"NIC4","BisqueRNA","uncorrected_woProl_gd"
"20",0.849171499009298,"NIC5","BisqueRNA","uncorrected_woProl_gd"
"21",0.748070016696818,"NIC6","BisqueRNA","uncorrected_woProl_gd"
"22",0.84477461671203,"NIC7","BisqueRNA","uncorrected_woProl_gd"
"23",-0.16176596938325,"S52","BisqueRNA","uncorrected_woProl_gd"
"24",0.177434952502329,"NIC12nova","BisqueRNA","uncorrected_woProl_gdwoOthers"
"25",0.176283792163778,"NIC12","BisqueRNA","uncorrected_woProl_gdwoOthers"
"26",-0.126475500192896,"NIC13","BisqueRNA","uncorrected_woProl_gdwoOthers"
"27",0.279400637356265,"NIC15","BisqueRNA","uncorrected_woProl_gdwoOthers"
"28",0.256578530962725,"NIC16","BisqueRNA","uncorrected_woProl_gdwoOthers"
"29",0.236930324794381,"NIC17","BisqueRNA","uncorrected_woProl_gdwoOthers"
"30",0.0635077761836241,"NIC18","BisqueRNA","uncorrected_woProl_gdwoOthers"
"31",0.621980918451895,"NIC19","BisqueRNA","uncorrected_woProl_gdwoOthers"
"32",0.360476486787094,"NIC20","BisqueRNA","uncorrected_woProl_gdwoOthers"
"33",0.137436603269484,"NIC21","BisqueRNA","uncorrected_woProl_gdwoOthers"
"34",-0.112950250392881,"NIC22nova","BisqueRNA","uncorrected_woProl_gdwoOthers"
"35",0.104331788416785,"NIC22","BisqueRNA","uncorrected_woProl_gdwoOthers"
