"","values","samples","models","cols"
"1",0.21026893443997,"NIC12nova","BisqueRNA","uncorrected_woProl_gd"
"2",0.213848880755618,"NIC12","BisqueRNA","uncorrected_woProl_gd"
"3",0.244696142908706,"NIC13","BisqueRNA","uncorrected_woProl_gd"
"4",0.199725427050708,"NIC15","BisqueRNA","uncorrected_woProl_gd"
"5",0.284148883941887,"NIC16","BisqueRNA","uncorrected_woProl_gd"
"6",0.216335160680924,"NIC17","BisqueRNA","uncorrected_woProl_gd"
"7",0.191381350449754,"NIC18","BisqueRNA","uncorrected_woProl_gd"
"8",0.233119554657841,"NIC19","BisqueRNA","uncorrected_woProl_gd"
"9",0.244670048380694,"NIC20","BisqueRNA","uncorrected_woProl_gd"
"10",0.164054358067383,"NIC21","BisqueRNA","uncorrected_woProl_gd"
"11",0.27907474036594,"NIC22nova","BisqueRNA","uncorrected_woProl_gd"
"12",0.258975833376346,"NIC22","BisqueRNA","uncorrected_woProl_gd"
"13",0.194201557799236,"NIC23","BisqueRNA","uncorrected_woProl_gd"
"14",0.190141836438765,"NIC24","BisqueRNA","uncorrected_woProl_gd"
"15",0.172366731441471,"NIC25","BisqueRNA","uncorrected_woProl_gd"
"16",0.116160519132705,"NIC27","BisqueRNA","uncorrected_woProl_gd"
"17",0.240516878628592,"NIC29","BisqueRNA","uncorrected_woProl_gd"
"18",0.191624166185123,"NIC3","BisqueRNA","uncorrected_woProl_gd"
"19",0.185153447433939,"NIC4","BisqueRNA","uncorrected_woProl_gd"
"20",0.215627018596329,"NIC5","BisqueRNA","uncorrected_woProl_gd"
"21",0.156263383913861,"NIC6","BisqueRNA","uncorrected_woProl_gd"
"22",0.128237608427061,"NIC7","BisqueRNA","uncorrected_woProl_gd"
"23",0.3112317618885,"S52","BisqueRNA","uncorrected_woProl_gd"
"24",0.221893318290889,"NIC12nova","BisqueRNA","uncorrected_woProl_gdwoOthers"
"25",0.225052531666909,"NIC12","BisqueRNA","uncorrected_woProl_gdwoOthers"
"26",0.266284274973373,"NIC13","BisqueRNA","uncorrected_woProl_gdwoOthers"
"27",0.204077478099818,"NIC15","BisqueRNA","uncorrected_woProl_gdwoOthers"
"28",0.289081106693242,"NIC16","BisqueRNA","uncorrected_woProl_gdwoOthers"
"29",0.220400114172434,"NIC17","BisqueRNA","uncorrected_woProl_gdwoOthers"
"30",0.2023156216587,"NIC18","BisqueRNA","uncorrected_woProl_gdwoOthers"
"31",0.234807890921359,"NIC19","BisqueRNA","uncorrected_woProl_gdwoOthers"
"32",0.245627677711833,"NIC20","BisqueRNA","uncorrected_woProl_gdwoOthers"
"33",0.175200626159854,"NIC21","BisqueRNA","uncorrected_woProl_gdwoOthers"
"34",0.293934833646378,"NIC22nova","BisqueRNA","uncorrected_woProl_gdwoOthers"
"35",0.274029035711516,"NIC22","BisqueRNA","uncorrected_woProl_gdwoOthers"
"36",0.202462877830182,"NIC23","BisqueRNA","uncorrected_woProl_gdwoOthers"
"37",0.211176886386562,"NIC24","BisqueRNA","uncorrected_woProl_gdwoOthers"
"38",0.176968821454587,"NIC25","BisqueRNA","uncorrected_woProl_gdwoOthers"
"39",0.126933948026041,"NIC27","BisqueRNA","uncorrected_woProl_gdwoOthers"
"40",0.243286354973264,"NIC29","BisqueRNA","uncorrected_woProl_gdwoOthers"
"41",0.199497451888129,"NIC3","BisqueRNA","uncorrected_woProl_gdwoOthers"
"42",0.199559532786039,"NIC4","BisqueRNA","uncorrected_woProl_gdwoOthers"
"43",0.217602933964485,"NIC5","BisqueRNA","uncorrected_woProl_gdwoOthers"
"44",0.161574112987489,"NIC6","BisqueRNA","uncorrected_woProl_gdwoOthers"
"45",0.133763896247552,"NIC7","BisqueRNA","uncorrected_woProl_gdwoOthers"
"46",0.315600027183183,"S52","BisqueRNA","uncorrected_woProl_gdwoOthers"
"47",0.295374807202313,"NIC12nova","BSeqSC","uncorrected_woProl_gd"
"48",0.27713422112545,"NIC12","BSeqSC","uncorrected_woProl_gd"
"49",0.243274312281764,"NIC13","BSeqSC","uncorrected_woProl_gd"
"50",0.289237352638628,"NIC15","BSeqSC","uncorrected_woProl_gd"
"51",0.360957819891586,"NIC16","BSeqSC","uncorrected_woProl_gd"
"52",0.275266524758656,"NIC17","BSeqSC","uncorrected_woProl_gd"
"53",0.211761959244309,"NIC18","BSeqSC","uncorrected_woProl_gd"
"54",0.242945869342973,"NIC19","BSeqSC","uncorrected_woProl_gd"
"55",0.278279833003219,"NIC20","BSeqSC","uncorrected_woProl_gd"
"56",0.213743623907897,"NIC21","BSeqSC","uncorrected_woProl_gd"
"57",0.324913573065718,"NIC22nova","BSeqSC","uncorrected_woProl_gd"
"58",0.305137734626846,"NIC22","BSeqSC","uncorrected_woProl_gd"
"59",0.296133738895521,"NIC23","BSeqSC","uncorrected_woProl_gd"
"60",0.210430410767505,"NIC24","BSeqSC","uncorrected_woProl_gd"
"61",0.253531419020195,"NIC25","BSeqSC","uncorrected_woProl_gd"
"62",0.0986737693475887,"NIC27","BSeqSC","uncorrected_woProl_gd"
"63",0.26311789364163,"NIC29","BSeqSC","uncorrected_woProl_gd"
"64",0.238107049351811,"NIC3","BSeqSC","uncorrected_woProl_gd"
"65",0.216670037442026,"NIC4","BSeqSC","uncorrected_woProl_gd"
"66",0.257983354557714,"NIC5","BSeqSC","uncorrected_woProl_gd"
"67",0.20169825879448,"NIC6","BSeqSC","uncorrected_woProl_gd"
"68",0.206395143936509,"NIC7","BSeqSC","uncorrected_woProl_gd"
"69",0.269858751713982,"S52","BSeqSC","uncorrected_woProl_gd"
"70",0.305303897261919,"NIC12nova","BSeqSC","uncorrected_woProl_gdwoOthers"
"71",0.286486151487902,"NIC12","BSeqSC","uncorrected_woProl_gdwoOthers"
"72",0.264394131211783,"NIC13","BSeqSC","uncorrected_woProl_gdwoOthers"
"73",0.290887760389488,"NIC15","BSeqSC","uncorrected_woProl_gdwoOthers"
"74",0.365549604161165,"NIC16","BSeqSC","uncorrected_woProl_gdwoOthers"
"75",0.278299651534434,"NIC17","BSeqSC","uncorrected_woProl_gdwoOthers"
"76",0.22077995505682,"NIC18","BSeqSC","uncorrected_woProl_gdwoOthers"
"77",0.244573728968952,"NIC19","BSeqSC","uncorrected_woProl_gdwoOthers"
"78",0.279216188253379,"NIC20","BSeqSC","uncorrected_woProl_gdwoOthers"
"79",0.222771038087658,"NIC21","BSeqSC","uncorrected_woProl_gdwoOthers"
"80",0.338689749866315,"NIC22nova","BSeqSC","uncorrected_woProl_gdwoOthers"
"81",0.319805244466442,"NIC22","BSeqSC","uncorrected_woProl_gdwoOthers"
"82",0.302081412639004,"NIC23","BSeqSC","uncorrected_woProl_gdwoOthers"
"83",0.229600799968073,"NIC24","BSeqSC","uncorrected_woProl_gdwoOthers"
"84",0.257084874988146,"NIC25","BSeqSC","uncorrected_woProl_gdwoOthers"
"85",0.104350253503152,"NIC27","BSeqSC","uncorrected_woProl_gdwoOthers"
"86",0.265656531788191,"NIC29","BSeqSC","uncorrected_woProl_gdwoOthers"
"87",0.245980948554748,"NIC3","BSeqSC","uncorrected_woProl_gdwoOthers"
"88",0.22913268390628,"NIC4","BSeqSC","uncorrected_woProl_gdwoOthers"
"89",0.259732925983502,"NIC5","BSeqSC","uncorrected_woProl_gdwoOthers"
"90",0.206154968787451,"NIC6","BSeqSC","uncorrected_woProl_gdwoOthers"
"91",0.21097986588831,"NIC7","BSeqSC","uncorrected_woProl_gdwoOthers"
"92",0.274269784239458,"S52","BSeqSC","uncorrected_woProl_gdwoOthers"
"93",0.0728500648778611,"NIC12nova","CIBERSORTx","uncorrected_woProl_gd"
"94",0.113604449786584,"NIC12","CIBERSORTx","uncorrected_woProl_gd"
"95",0.235444164156595,"NIC13","CIBERSORTx","uncorrected_woProl_gd"
"96",0.163846240277073,"NIC15","CIBERSORTx","uncorrected_woProl_gd"
"97",0.088773933671445,"NIC16","CIBERSORTx","uncorrected_woProl_gd"
"98",0.0662522799077926,"NIC17","CIBERSORTx","uncorrected_woProl_gd"
"99",0.0532754180611415,"NIC18","CIBERSORTx","uncorrected_woProl_gd"
"100",0.069166368243427,"NIC19","CIBERSORTx","uncorrected_woProl_gd"
"101",0.0510556340049383,"NIC20","CIBERSORTx","uncorrected_woProl_gd"
"102",0.0901757884746685,"NIC21","CIBERSORTx","uncorrected_woProl_gd"
"103",0.0982894196801758,"NIC22nova","CIBERSORTx","uncorrected_woProl_gd"
"104",0.143295231010556,"NIC22","CIBERSORTx","uncorrected_woProl_gd"
"105",0.044809705847908,"NIC23","CIBERSORTx","uncorrected_woProl_gd"
"106",0.168732399211693,"NIC24","CIBERSORTx","uncorrected_woProl_gd"
"107",0.0948797231479402,"NIC25","CIBERSORTx","uncorrected_woProl_gd"
"108",0.148719055157819,"NIC27","CIBERSORTx","uncorrected_woProl_gd"
"109",0.215072241394982,"NIC29","CIBERSORTx","uncorrected_woProl_gd"
